,age_end,age_start,area,data_type,effective_sample_size,lower_ci,sex,standard_error,upper_ci,value,year_end,year_start
65,74.0,70.0,europe_western,pf,,4.2e-05,male,-99.0,0.00011,7.18e-05,2005.0,2005.0
66,79.0,75.0,europe_western,pf,,5.9e-05,male,-99.0,0.000157,0.0001048,2005.0,2005.0
67,99.0,80.0,europe_western,pf,,0.000108,male,-99.0,0.000286,0.0001901,2005.0,2005.0
68,4.0,1.0,europe_western,pf,,9.7e-10,male,-99.0,6.6e-07,1.06e-07,2010.0,2010.0
69,9.0,5.0,europe_western,pf,,6.8e-10,male,-99.0,5.1e-07,7.73e-08,2010.0,2010.0
70,14.0,10.0,europe_western,pf,,6.9e-10,male,-99.0,2.3e-06,4.09e-07,2010.0,2010.0
71,19.0,15.0,europe_western,pf,,1e-08,male,-99.0,1.5e-06,2.84e-07,2010.0,2010.0
72,24.0,20.0,europe_western,pf,,9e-08,male,-99.0,2.7e-06,7.76e-07,2010.0,2010.0
73,29.0,25.0,europe_western,pf,,5.6e-07,male,-99.0,4.6e-06,1.98e-06,2010.0,2010.0
74,34.0,30.0,europe_western,pf,,2.2e-06,male,-99.0,1e-05,4.96e-06,2010.0,2010.0
75,39.0,35.0,europe_western,pf,,4.1e-06,male,-99.0,1.5e-05,8.07e-06,2010.0,2010.0
76,44.0,40.0,europe_western,pf,,7.2e-06,male,-99.0,2.2e-05,1.29e-05,2010.0,2010.0
77,49.0,45.0,europe_western,pf,,1.1e-05,male,-99.0,3e-05,1.86e-05,2010.0,2010.0
78,54.0,50.0,europe_western,pf,,1.4e-05,male,-99.0,3.6e-05,2.31e-05,2010.0,2010.0
79,59.0,55.0,europe_western,pf,,1.7e-05,male,-99.0,4.3e-05,2.68e-05,2010.0,2010.0
80,64.0,60.0,europe_western,pf,,2e-05,male,-99.0,5.2e-05,3.32e-05,2010.0,2010.0
81,69.0,65.0,europe_western,pf,,2.8e-05,male,-99.0,7.4e-05,4.6e-05,2010.0,2010.0
82,74.0,70.0,europe_western,pf,,3.9e-05,male,-99.0,0.000107,6.76e-05,2010.0,2010.0
83,79.0,75.0,europe_western,pf,,5.7e-05,male,-99.0,0.000155,0.0001007,2010.0,2010.0
84,99.0,80.0,europe_western,pf,,0.000107,male,-99.0,0.000286,0.0001853,2010.0,2010.0
85,4.0,0.0,AUT,i,205515.0,,male,-99.0,,9.73e-06,2001.0,2001.0
86,9.0,5.0,AUT,i,240297.0,,male,-99.0,,2.91e-05,2001.0,2001.0
87,14.0,10.0,AUT,i,243667.0,,male,-99.0,,6.16e-05,2001.0,2001.0
88,19.0,15.0,AUT,i,247248.0,,male,-99.0,,7.28e-05,2001.0,2001.0
89,24.0,20.0,AUT,i,241494.0,,male,-99.0,,0.0001863,2001.0,2001.0
90,29.0,25.0,AUT,i,267842.0,,male,-99.0,,0.000407,2001.0,2001.0
91,34.0,30.0,AUT,i,336273.0,,male,-99.0,,0.0006453,2001.0,2001.0
92,39.0,35.0,AUT,i,359016.0,,male,-99.0,,0.0011448,2001.0,2001.0
93,44.0,40.0,AUT,i,318042.0,,male,-99.0,,0.0014023,2001.0,2001.0
94,49.0,45.0,AUT,i,263092.0,,male,-99.0,,0.0015166,2001.0,2001.0
95,54.0,50.0,AUT,i,252686.0,,male,-99.0,,0.0017532,2001.0,2001.0
96,59.0,55.0,AUT,i,221947.0,,male,-99.0,,0.0015364,2001.0,2001.0
97,64.0,60.0,AUT,i,220136.0,,male,-99.0,,0.0014173,2001.0,2001.0
98,69.0,65.0,AUT,i,152751.0,,male,-99.0,,0.0015188,2001.0,2001.0
99,74.0,70.0,AUT,i,140306.0,,male,-99.0,,0.0013684,2001.0,2001.0
100,79.0,75.0,AUT,i,98162.0,,male,-99.0,,0.0015688,2001.0,2001.0
101,100.0,80.0,AUT,i,81476.0,,male,-99.0,,0.0019883,2001.0,2001.0
102,4.0,0.0,AUT,i,201776.0,,male,-99.0,,2.48e-05,2002.0,2002.0
103,9.0,5.0,AUT,i,236166.0,,male,-99.0,,2.96e-05,2002.0,2002.0
104,14.0,10.0,AUT,i,246979.0,,male,-99.0,,8.5e-05,2002.0,2002.0
105,19.0,15.0,AUT,i,246351.0,,male,-99.0,,6.9e-05,2002.0,2002.0
106,24.0,20.0,AUT,i,248598.0,,male,-99.0,,0.0002534,2002.0,2002.0
107,29.0,25.0,AUT,i,260672.0,,male,-99.0,,0.0004987,2002.0,2002.0
108,34.0,30.0,AUT,i,326001.0,,male,-99.0,,0.0006104,2002.0,2002.0
109,39.0,35.0,AUT,i,360122.0,,male,-99.0,,0.0011524,2002.0,2002.0
110,44.0,40.0,AUT,i,328730.0,,male,-99.0,,0.0015088,2002.0,2002.0
111,49.0,45.0,AUT,i,272723.0,,male,-99.0,,0.001573,2002.0,2002.0
112,54.0,50.0,AUT,i,252277.0,,male,-99.0,,0.0018432,2002.0,2002.0
113,59.0,55.0,AUT,i,220013.0,,male,-99.0,,0.0017135,2002.0,2002.0
114,64.0,60.0,AUT,i,233979.0,,male,-99.0,,0.0014574,2002.0,2002.0
115,69.0,65.0,AUT,i,151262.0,,male,-99.0,,0.0013553,2002.0,2002.0
116,74.0,70.0,AUT,i,141498.0,,male,-99.0,,0.0014205,2002.0,2002.0
117,79.0,75.0,AUT,i,100428.0,,male,-99.0,,0.0015434,2002.0,2002.0
118,100.0,80.0,AUT,i,86518.0,,male,-99.0,,0.0016413,2002.0,2002.0
119,4.0,0.0,AUT,i,200471.0,,male,-99.0,,2.49e-05,2003.0,2003.0
120,9.0,5.0,AUT,i,231029.0,,male,-99.0,,3.46e-05,2003.0,2003.0
121,14.0,10.0,AUT,i,249208.0,,male,-99.0,,5.22e-05,2003.0,2003.0
122,19.0,15.0,AUT,i,246866.0,,male,-99.0,,0.0001256,2003.0,2003.0
123,24.0,20.0,AUT,i,255549.0,,male,-99.0,,0.0002661,2003.0,2003.0
124,29.0,25.0,AUT,i,256512.0,,male,-99.0,,0.0004249,2003.0,2003.0
125,34.0,30.0,AUT,i,312944.0,,male,-99.0,,0.000719,2003.0,2003.0
126,39.0,35.0,AUT,i,359352.0,,male,-99.0,,0.0010714,2003.0,2003.0
127,44.0,40.0,AUT,i,339115.0,,male,-99.0,,0.0014567,2003.0,2003.0
128,49.0,45.0,AUT,i,281923.0,,male,-99.0,,0.0015997,2003.0,2003.0
129,54.0,50.0,AUT,i,248954.0,,male,-99.0,,0.0017634,2003.0,2003.0
130,59.0,55.0,AUT,i,224856.0,,male,-99.0,,0.0016855,2003.0,2003.0
131,64.0,60.0,AUT,i,241572.0,,male,-99.0,,0.001395,2003.0,2003.0
132,69.0,65.0,AUT,i,152345.0,,male,-99.0,,0.0014703,2003.0,2003.0
133,74.0,70.0,AUT,i,140586.0,,male,-99.0,,0.0015578,2003.0,2003.0
134,79.0,75.0,AUT,i,103302.0,,male,-99.0,,0.0015779,2003.0,2003.0
135,100.0,80.0,AUT,i,91001.0,,male,-99.0,,0.0017033,2003.0,2003.0
136,4.0,0.0,AUT,i,200462.0,,male,-99.0,,2.49e-05,2004.0,2004.0
137,9.0,5.0,AUT,i,225816.0,,male,-99.0,,4.87e-05,2004.0,2004.0
138,14.0,10.0,AUT,i,250129.0,,male,-99.0,,4.8e-05,2004.0,2004.0
139,19.0,15.0,AUT,i,248818.0,,male,-99.0,,0.0001366,2004.0,2004.0
140,24.0,20.0,AUT,i,261613.0,,male,-99.0,,0.0002102,2004.0,2004.0
141,29.0,25.0,AUT,i,256015.0,,male,-99.0,,0.0003594,2004.0,2004.0
142,34.0,30.0,AUT,i,300252.0,,male,-99.0,,0.0006761,2004.0,2004.0
143,39.0,35.0,AUT,i,357150.0,,male,-99.0,,0.0010584,2004.0,2004.0
144,44.0,40.0,AUT,i,348986.0,,male,-99.0,,0.0014958,2004.0,2004.0
145,49.0,45.0,AUT,i,292936.0,,male,-99.0,,0.0017444,2004.0,2004.0
146,54.0,50.0,AUT,i,248285.0,,male,-99.0,,0.0016876,2004.0,2004.0
147,59.0,55.0,AUT,i,228566.0,,male,-99.0,,0.0015707,2004.0,2004.0
148,64.0,60.0,AUT,i,239920.0,,male,-99.0,,0.0014213,2004.0,2004.0
149,69.0,65.0,AUT,i,164044.0,,male,-99.0,,0.0015849,2004.0,2004.0
150,74.0,70.0,AUT,i,138682.0,,male,-99.0,,0.001745,2004.0,2004.0
151,79.0,75.0,AUT,i,107026.0,,male,-99.0,,0.0018967,2004.0,2004.0
152,100.0,80.0,AUT,i,95451.0,,male,-99.0,,0.0018753,2004.0,2004.0
153,4.0,0.0,AUT,i,201216.0,,male,-99.0,,3.48e-05,2005.0,2005.0
154,9.0,5.0,AUT,i,221456.0,,male,-99.0,,4.52e-05,2005.0,2005.0
155,14.0,10.0,AUT,i,249514.0,,male,-99.0,,4.01e-05,2005.0,2005.0
156,19.0,15.0,AUT,i,250960.0,,male,-99.0,,9.96e-05,2005.0,2005.0
157,24.0,20.0,AUT,i,265969.0,,male,-99.0,,0.0002294,2005.0,2005.0
158,29.0,25.0,AUT,i,259172.0,,male,-99.0,,0.0003511,2005.0,2005.0
159,34.0,30.0,AUT,i,291249.0,,male,-99.0,,0.0005803,2005.0,2005.0
160,39.0,35.0,AUT,i,352194.0,,male,-99.0,,0.0009767,2005.0,2005.0
161,44.0,40.0,AUT,i,357007.0,,male,-99.0,,0.0012829,2005.0,2005.0
162,49.0,45.0,AUT,i,305389.0,,male,-99.0,,0.0017158,2005.0,2005.0
163,54.0,50.0,AUT,i,251384.0,,male,-99.0,,0.0018299,2005.0,2005.0
164,59.0,55.0,AUT,i,236326.0,,male,-99.0,,0.0016291,2005.0,2005.0
165,64.0,60.0,AUT,i,225064.0,,male,-99.0,,0.0015285,2005.0,2005.0
166,69.0,65.0,AUT,i,184858.0,,male,-99.0,,0.0016391,2005.0,2005.0
167,74.0,70.0,AUT,i,136138.0,,male,-99.0,,0.0014911,2005.0,2005.0
168,79.0,75.0,AUT,i,110652.0,,male,-99.0,,0.0020786,2005.0,2005.0
169,100.0,80.0,AUT,i,100294.0,,male,-99.0,,0.0018944,2005.0,2005.0
170,4.0,0.0,AUT,i,201301.0,,male,-99.0,,5.46e-05,2006.0,2006.0
171,9.0,5.0,AUT,i,216756.0,,male,-99.0,,2.77e-05,2006.0,2006.0
172,14.0,10.0,AUT,i,246903.0,,male,-99.0,,5.67e-05,2006.0,2006.0
173,19.0,15.0,AUT,i,253111.0,,male,-99.0,,0.0001501,2006.0,2006.0
174,24.0,20.0,AUT,i,266172.0,,male,-99.0,,0.0001841,2006.0,2006.0
175,29.0,25.0,AUT,i,264444.0,,male,-99.0,,0.000295,2006.0,2006.0
176,34.0,30.0,AUT,i,283100.0,,male,-99.0,,0.0005758,2006.0,2006.0
177,39.0,35.0,AUT,i,344110.0,,male,-99.0,,0.0010375,2006.0,2006.0
178,44.0,40.0,AUT,i,361547.0,,male,-99.0,,0.00143,2006.0,2006.0
179,49.0,45.0,AUT,i,317053.0,,male,-99.0,,0.0016874,2006.0,2006.0
180,54.0,50.0,AUT,i,258834.0,,male,-99.0,,0.0016497,2006.0,2006.0
181,59.0,55.0,AUT,i,243977.0,,male,-99.0,,0.0017789,2006.0,2006.0
182,64.0,60.0,AUT,i,210139.0,,male,-99.0,,0.0016227,2006.0,2006.0
183,69.0,65.0,AUT,i,203931.0,,male,-99.0,,0.0014956,2006.0,2006.0
184,74.0,70.0,AUT,i,134159.0,,male,-99.0,,0.0015206,2006.0,2006.0
185,79.0,75.0,AUT,i,113430.0,,male,-99.0,,0.0018161,2006.0,2006.0
186,100.0,80.0,AUT,i,105533.0,,male,-99.0,,0.0018762,2006.0,2006.0
187,4.0,0.0,BEL,i,287137.0,,male,-99.0,,4.88e-05,2003.0,2003.0
188,9.0,5.0,BEL,i,302841.0,,male,-99.0,,9.91e-05,2003.0,2003.0
189,14.0,10.0,BEL,i,324997.0,,male,-99.0,,8.62e-05,2003.0,2003.0
190,19.0,15.0,BEL,i,310446.0,,male,-99.0,,0.000277,2003.0,2003.0
191,24.0,20.0,BEL,i,325977.0,,male,-99.0,,0.0003129,2003.0,2003.0
192,29.0,25.0,BEL,i,329583.0,,male,-99.0,,0.0007525,2003.0,2003.0
193,34.0,30.0,BEL,i,372608.0,,male,-99.0,,0.0012184,2003.0,2003.0
194,39.0,35.0,BEL,i,403656.0,,male,-99.0,,0.001749,2003.0,2003.0
195,44.0,40.0,BEL,i,406548.0,,male,-99.0,,0.0025188,2003.0,2003.0
196,49.0,45.0,BEL,i,378924.0,,male,-99.0,,0.0032038,2003.0,2003.0
197,54.0,50.0,BEL,i,349032.0,,male,-99.0,,0.0029625,2003.0,2003.0
198,59.0,55.0,BEL,i,311693.0,,male,-99.0,,0.002573,2003.0,2003.0
199,64.0,60.0,BEL,i,237663.0,,male,-99.0,,0.0020365,2003.0,2003.0
200,69.0,65.0,BEL,i,232109.0,,male,-99.0,,0.0017061,2003.0,2003.0
201,74.0,70.0,BEL,i,209779.0,,male,-99.0,,0.0022405,2003.0,2003.0
202,79.0,75.0,BEL,i,155604.0,,male,-99.0,,0.0018509,2003.0,2003.0
203,100.0,80.0,BEL,i,133351.0,,male,-99.0,,0.0025047,2003.0,2003.0
204,4.0,0.0,BEL,i,287725.0,,male,-99.0,,2.78e-05,2004.0,2004.0
205,9.0,5.0,BEL,i,301212.0,,male,-99.0,,9.3e-05,2004.0,2004.0
206,14.0,10.0,BEL,i,323919.0,,male,-99.0,,9.88e-05,2004.0,2004.0
207,19.0,15.0,BEL,i,314082.0,,male,-99.0,,0.000191,2004.0,2004.0
208,24.0,20.0,BEL,i,324362.0,,male,-99.0,,0.0004131,2004.0,2004.0
209,29.0,25.0,BEL,i,329328.0,,male,-99.0,,0.0007045,2004.0,2004.0
210,34.0,30.0,BEL,i,367000.0,,male,-99.0,,0.0012044,2004.0,2004.0
211,39.0,35.0,BEL,i,396252.0,,male,-99.0,,0.0017666,2004.0,2004.0
212,44.0,40.0,BEL,i,409997.0,,male,-99.0,,0.0026976,2004.0,2004.0
213,49.0,45.0,BEL,i,385168.0,,male,-99.0,,0.0034686,2004.0,2004.0
214,54.0,50.0,BEL,i,351503.0,,male,-99.0,,0.0031692,2004.0,2004.0
215,59.0,55.0,BEL,i,322877.0,,male,-99.0,,0.0026759,2004.0,2004.0
216,64.0,60.0,BEL,i,239534.0,,male,-99.0,,0.0023713,2004.0,2004.0
217,69.0,65.0,BEL,i,232801.0,,male,-99.0,,0.0021821,2004.0,2004.0
218,74.0,70.0,BEL,i,210448.0,,male,-99.0,,0.0021763,2004.0,2004.0
219,79.0,75.0,BEL,i,156851.0,,male,-99.0,,0.0025629,2004.0,2004.0
220,100.0,80.0,BEL,i,140916.0,,male,-99.0,,0.0027818,2004.0,2004.0
221,4.0,0.0,BEL,i,290042.0,,male,-99.0,,2.76e-05,2005.0,2005.0
222,9.0,5.0,BEL,i,301502.0,,male,-99.0,,6.63e-05,2005.0,2005.0
223,14.0,10.0,BEL,i,320877.0,,male,-99.0,,4.36e-05,2005.0,2005.0
224,19.0,15.0,BEL,i,319651.0,,male,-99.0,,0.0002816,2005.0,2005.0
225,24.0,20.0,BEL,i,321631.0,,male,-99.0,,0.0004602,2005.0,2005.0
226,29.0,25.0,BEL,i,332684.0,,male,-99.0,,0.0007214,2005.0,2005.0
227,34.0,30.0,BEL,i,359221.0,,male,-99.0,,0.0010133,2005.0,2005.0
228,39.0,35.0,BEL,i,390431.0,,male,-99.0,,0.0019312,2005.0,2005.0
229,44.0,40.0,BEL,i,412865.0,,male,-99.0,,0.002548,2005.0,2005.0
230,49.0,45.0,BEL,i,391069.0,,male,-99.0,,0.0029509,2005.0,2005.0
231,54.0,50.0,BEL,i,355605.0,,male,-99.0,,0.0028965,2005.0,2005.0
232,59.0,55.0,BEL,i,332313.0,,male,-99.0,,0.0024314,2005.0,2005.0
233,64.0,60.0,BEL,i,245077.0,,male,-99.0,,0.0027012,2005.0,2005.0
234,69.0,65.0,BEL,i,231714.0,,male,-99.0,,0.0021147,2005.0,2005.0
235,74.0,70.0,BEL,i,209158.0,,male,-99.0,,0.0023714,2005.0,2005.0
236,79.0,75.0,BEL,i,159434.0,,male,-99.0,,0.0023709,2005.0,2005.0
237,100.0,80.0,BEL,i,148786.0,,male,-99.0,,0.0023524,2005.0,2005.0
238,4.0,0.0,BEL,i,293841.0,,male,-99.0,,4.08e-05,2006.0,2006.0
239,9.0,5.0,BEL,i,302214.0,,male,-99.0,,8.6e-05,2006.0,2006.0
240,14.0,10.0,BEL,i,316844.0,,male,-99.0,,0.0001704,2006.0,2006.0
241,19.0,15.0,BEL,i,325707.0,,male,-99.0,,0.0002518,2006.0,2006.0
242,24.0,20.0,BEL,i,320130.0,,male,-99.0,,0.0003499,2006.0,2006.0
243,29.0,25.0,BEL,i,337679.0,,male,-99.0,,0.000687,2006.0,2006.0
244,34.0,30.0,BEL,i,351909.0,,male,-99.0,,0.0011764,2006.0,2006.0
245,39.0,35.0,BEL,i,387444.0,,male,-99.0,,0.0017035,2006.0,2006.0
246,44.0,40.0,BEL,i,413814.0,,male,-99.0,,0.0023779,2006.0,2006.0
247,49.0,45.0,BEL,i,396567.0,,male,-99.0,,0.0031722,2006.0,2006.0
248,54.0,50.0,BEL,i,361335.0,,male,-99.0,,0.0033874,2006.0,2006.0
249,59.0,55.0,BEL,i,336298.0,,male,-99.0,,0.0025632,2006.0,2006.0
250,64.0,60.0,BEL,i,260045.0,,male,-99.0,,0.002438,2006.0,2006.0
251,69.0,65.0,BEL,i,226947.0,,male,-99.0,,0.002212,2006.0,2006.0
252,74.0,70.0,BEL,i,206490.0,,male,-99.0,,0.0020437,2006.0,2006.0
253,79.0,75.0,BEL,i,163429.0,,male,-99.0,,0.0024108,2006.0,2006.0
254,100.0,80.0,BEL,i,156408.0,,male,-99.0,,0.0028132,2006.0,2006.0
255,14.0,10.0,CHE,i,225746.0,,male,-99.0,,3.1e-05,2002.0,2002.0
256,19.0,15.0,CHE,i,217314.0,,male,-99.0,,7.36e-05,2002.0,2002.0
257,24.0,20.0,CHE,i,215667.0,,male,-99.0,,0.0001345,2002.0,2002.0
258,29.0,25.0,CHE,i,228035.0,,male,-99.0,,0.0001403,2002.0,2002.0
259,34.0,30.0,CHE,i,275461.0,,male,-99.0,,0.0003739,2002.0,2002.0
260,39.0,35.0,CHE,i,316590.0,,male,-99.0,,0.0005117,2002.0,2002.0
261,44.0,40.0,CHE,i,293119.0,,male,-99.0,,0.0006209,2002.0,2002.0
262,49.0,45.0,CHE,i,260556.0,,male,-99.0,,0.00071,2002.0,2002.0
263,54.0,50.0,CHE,i,245730.0,,male,-99.0,,0.000818,2002.0,2002.0
264,59.0,55.0,CHE,i,231628.0,,male,-99.0,,0.0008246,2002.0,2002.0
265,64.0,60.0,CHE,i,178734.0,,male,-99.0,,0.0008113,2002.0,2002.0
266,69.0,65.0,CHE,i,148407.0,,male,-99.0,,0.0009097,2002.0,2002.0
267,74.0,70.0,CHE,i,121549.0,,male,-99.0,,0.0010202,2002.0,2002.0
268,79.0,75.0,CHE,i,92637.0,,male,-99.0,,0.0009176,2002.0,2002.0
269,100.0,80.0,CHE,i,101355.0,,male,-99.0,,0.0010458,2002.0,2002.0
270,4.0,0.0,CHE,i,190345.0,,male,-99.0,,1.58e-05,2003.0,2003.0
271,9.0,5.0,CHE,i,210650.0,,male,-99.0,,9.49e-06,2003.0,2003.0
272,14.0,10.0,CHE,i,226433.0,,male,-99.0,,1.77e-05,2003.0,2003.0
273,19.0,15.0,CHE,i,218810.0,,male,-99.0,,5.48e-05,2003.0,2003.0
274,24.0,20.0,CHE,i,218329.0,,male,-99.0,,0.000142,2003.0,2003.0
275,29.0,25.0,CHE,i,228594.0,,male,-99.0,,0.000175,2003.0,2003.0
276,34.0,30.0,CHE,i,271851.0,,male,-99.0,,0.0004598,2003.0,2003.0
277,39.0,35.0,CHE,i,315979.0,,male,-99.0,,0.0003576,2003.0,2003.0
278,44.0,40.0,CHE,i,300666.0,,male,-99.0,,0.0007051,2003.0,2003.0
279,49.0,45.0,CHE,i,267178.0,,male,-99.0,,0.0007486,2003.0,2003.0
280,54.0,50.0,CHE,i,245352.0,,male,-99.0,,0.0007418,2003.0,2003.0
281,59.0,55.0,CHE,i,235484.0,,male,-99.0,,0.0008621,2003.0,2003.0
282,64.0,60.0,CHE,i,186419.0,,male,-99.0,,0.0007456,2003.0,2003.0
