idnum, state, state2, stfips, zip, region, typebldg, floor, room, basement, windoor, rep, stratum, wave, starttm, stoptm, startdt, stopdt, activity, pcterr, adjwt, dupflag, zipflag, cntyfips, county
46,AZ,AZ, 4,85635, 3,1,1,2,N, , 5, 2,107,2130,2130,061788,061988,     0.1,     0.0,   364.958323,0,0,  3,COCHISE             
47,AZ,AZ, 4,85635, 3,0,9,0, , , 2, 2,122,1412,0000,072788,010199,     0.0,     0.0,   363.432059,0,0,  3,COCHISE             
48,AZ,AZ, 4,85635, 3,1,1,3,N, , 5, 2,124,1200,1200,070788,070788,     0.1,     0.0,   364.958323,0,0,  3,COCHISE             
49,AZ,AZ, 4,85635, 3,1,1,1,N, , 1, 2,108,0700,0700,062188,062388,     0.6,    44.9,   359.164059,0,0,  3,COCHISE             
50,AZ,AZ, 4,85635, 3,1,1,3,N, , 3, 2,  6,1700,1700,042988,050588,     2.4,     9.4,   378.243829,0,0,  3,COCHISE             
51,AZ,AZ, 4,85638, 3,0,9,0, , , 3, 2, 58,2300,1930,030388,030388,     2.0,    12.2,   378.243829,0,0,  3,COCHISE             
52,AZ,AZ, 4,85638, 3,1,1,1,N, , 1, 2, 66,1700,1700,031888,032088,     4.0,    17.8,   359.164059,0,0,  3,COCHISE             
53,AZ,AZ, 4,85643, 3,5,1,7,N, , 3, 2, 84,0900,0900,053088,060688,     0.7,    40.2,   378.243829,1,0,  3,COCHISE             
54,AZ,AZ, 4,85643, 3,1,1,7,N, , 1, 2,  3,0700,0800,042688,042888,     1.2,    21.0,   359.164059,0,0,  3,COCHISE             
55,AZ,AZ, 4,85012, 1,1,0,7,N, , 3, 1, 55,1930,1930,030388,030388,     2.1,    12.6,   147.430770,0,0,  5,COCONINO            
56,AZ,AZ, 4,85020, 1,1,1,3,N, , 3, 1,119,1430,1430,072288,072488,     0.2,     0.0,   147.430770,1,0,  5,COCONINO            
57,AZ,AZ, 4,85029, 1,0,9,0, , , 5, 1,118,1330,1800,071388,071588,     0.1,     0.0,   120.341352,1,0,  5,COCONINO            
58,AZ,AZ, 4,85258, 1,1,1,3,N, , 4, 1, 86,0735,0730,052888,053088,     0.2,     0.0,   150.245112,0,0,  5,COCONINO            
59,AZ,AZ, 4,85711, 1,1,1,7,N, , 2, 1, 76,1615,0300,031588,031888,     0.6,    26.5,   136.060971,0,0,  5,COCONINO            
60,AZ,AZ, 4,86001, 1,1,1,1,N, , 4, 1, 28,0745,0630,112887,120287,     0.8,    24.6,   150.245112,0,0,  5,COCONINO            
61,AZ,AZ, 4,86001, 1,1,1,3,N, , 4, 1, 30,0830,2140,121087,121587,     0.7,    31.8,   150.245112,0,0,  5,COCONINO            
62,AZ,AZ, 4,86001, 1,1,1,1,N, , 5, 1, 33,2200,2030,120287,121287,     3.8,     5.9,   120.341352,0,0,  5,COCONINO            
63,AZ,AZ, 4,86001, 1,1,1,1,N, , 1, 1, 32,2130,2130,122087,122287,     1.8,    19.9,   128.784975,0,0,  5,COCONINO            
64,AZ,AZ, 4,86001, 1,1,1,3,N, , 3, 1, 36,1530,1645,121887,122087,     3.8,     7.4,   147.430770,0,0,  5,COCONINO            
65,AZ,AZ, 4,86001, 1,1,1,1,N, , 4, 1, 43,1738,0738,011188,011388,     3.2,    13.9,   150.245112,0,0,  5,COCONINO            
66,AZ,AZ, 4,86001, 1,0,9,0, , , 3, 1, 39,1700,1730,122687,122887,     1.1,    35.5,   147.430770,0,0,  5,COCONINO            
67,AZ,AZ, 4,86001, 1,1,1,1,N, , 1, 1, 44,2100,0850,011188,011488,     3.7,     9.6,   128.784975,0,0,  5,COCONINO            
68,AZ,AZ, 4,86001, 1,1,1,2,N, , 3, 1, 50,0800,0800,020288,020288,     4.4,     6.2,   147.430770,0,0,  5,COCONINO            
69,AZ,AZ, 4,86001, 1,5,1,1, , , 3, 1, 56,1500,1500,022588,022788,     2.1,    11.1,   147.430770,1,0,  5,COCONINO            
70,AZ,AZ, 4,86001, 1,1,1,7,N, , 4, 1, 58,2255,2300,022688,022888,     3.6,     7.0,   150.245112,0,0,  5,COCONINO            
71,AZ,AZ, 4,86001, 1,1,1,3,N, , 1, 1, 60,1935,1935,030388,030388,     3.0,    12.7,   128.784975,0,0,  5,COCONINO            
72,AZ,AZ, 4,86001, 1,2,1,3,N, , 3, 1, 63,1206,1206,031288,031488,     0.3,     0.0,   147.430770,0,0,  5,COCONINO            
73,AZ,AZ, 4,86001, 1,1,1,3,N, , 3, 1, 62,0820,0838,031388,031588,     1.6,    12.4,   147.430770,0,0,  5,COCONINO            
74,AZ,AZ, 4,86001, 1,1,1,7,N, , 5, 1, 64,1033,2006,031288,031488,     9.6,     3.5,   120.341352,0,0,  5,COCONINO            
75,AZ,AZ, 4,86001, 1,1,1,5,N, , 2, 1, 69,0645,0645,051888,052088,     0.6,    30.7,   136.060971,0,0,  5,COCONINO            
76,AZ,AZ, 4,86001, 1,1,1,1,N, , 4, 1, 86,0720,0728,052788,052988,     1.7,    18.5,   150.245112,0,0,  5,COCONINO            
77,AZ,AZ, 4,86001, 1,0,9,0, , , 2, 1, 91,1250,1330,062488,062688,     0.7,    83.1,   136.060971,0,0,  5,COCONINO            
78,AZ,AZ, 4,86001, 1,1,1,1,N, , 5, 1, 96,1905,2115,061488,061688,     0.9,    26.1,   120.341352,0,0,  5,COCONINO            
79,AZ,AZ, 4,86001, 1,1,1,1,N, , 5, 1, 98,1515,1515,061188,061388,    12.9,     4.9,   120.341352,0,0,  5,COCONINO            
80,AZ,AZ, 4,86001, 1,1,1,7,N, , 1, 1, 85,1800,2000,052688,052888,     0.6,    37.2,   128.784975,0,0,  5,COCONINO            
81,AZ,AZ, 4,86001, 1,1,1,1,N, , 1, 1,115,0800,0800,062688,062888,     7.7,     3.8,   128.784975,0,0,  5,COCONINO            
82,AZ,AZ, 4,86001, 1,1,1,3,N, , 2, 1,108,1700,1900,062288,062488,     1.2,    67.1,   136.060971,0,0,  5,COCONINO            
83,AZ,AZ, 4,86001, 1,1,1,7,N, , 2, 1,  8,1950,0955,043088,050588,     8.3,     3.4,   136.060971,0,0,  5,COCONINO            
84,AZ,AZ, 4,86001, 1,1,1,3,N, , 5, 1,  9,1930,1930,051488,051688,     1.2,    19.4,   120.341352,0,0,  5,COCONINO            
85,AZ,AZ, 4,86002, 1,1,1,1,N, , 1, 1, 39,1730,1800,010188,011088,     4.5,    14.2,   128.784975,0,0,  5,COCONINO            
86,AZ,AZ, 4,86002, 1,5,1,3,N, , 5, 1, 45,2200,0600,011288,011588,     0.7,    32.5,   120.341352,0,0,  5,COCONINO            
87,AZ,AZ, 4,86004, 1,1,1,1,N, , 2, 1, 23,0817,0817,113087,120287,     2.6,    13.6,   136.060971,0,0,  5,COCONINO            
88,AZ,AZ, 4,86004, 1,1,1,7,N, , 5, 1, 25,1145,1230,112087,112387,     3.3,     7.8,   120.341352,0,0,  5,COCONINO            
89,AZ,AZ, 4,86004, 1,1,1,3,N, , 5, 1, 27,0745,0745,112887,113087,     1.1,    37.6,   120.341352,0,0,  5,COCONINO            
90,AZ,AZ, 4,86004, 1,1,1,3,N, , 2, 1, 32,0830,0800,121587,121787,     3.7,     9.9,   136.060971,0,0,  5,COCONINO            
91,AZ,AZ, 4,86004, 1,1,1,3,N, , 1, 1, 55,1605,1605,022388,022588,     2.1,    12.9,   128.784975,0,0,  5,COCONINO            
92,AZ,AZ, 4,86004, 1,1,1,3,N, , 1, 1, 38,1930,2130,123087,010188,     6.7,     6.4,   128.784975,0,0,  5,COCONINO            
93,AZ,AZ, 4,86004, 1,1,1,1,N, , 1, 1, 45,0805,0805,012288,012488,     1.0,    18.4,   128.784975,0,0,  5,COCONINO            
94,AZ,AZ, 4,86004, 1,0,9,0, , , 5, 1, 45,1400,1400,011488,011688,     1.4,    33.4,   120.341352,0,0,  5,COCONINO            
95,AZ,AZ, 4,86004, 1,1,1,1, , , 3, 1, 51,0730,0840,020288,020288,     2.4,    11.9,   147.430770,0,0,  5,COCONINO            
96,AZ,AZ, 4,86004, 1,1,1,3,N, , 2, 1, 61,0730,0730,030388,030388,     0.4,     0.0,   136.060971,0,0,  5,COCONINO            
97,AZ,AZ, 4,86004, 1,1,1,3,N, , 4, 1, 61,1600,1950,030388,030388,     3.4,     8.4,   150.245112,0,0,  5,COCONINO            
98,AZ,AZ, 4,86004, 1,1,1,1,N, , 2, 1, 71,1035,1200,040488,040488,     4.0,    11.6,   136.060971,1,0,  5,COCONINO            
99,AZ,AZ, 4,86004, 1,1,1,5,N, , 3, 1, 71,2030,2230,040488,040488,     1.5,    15.6,   147.430770,0,0,  5,COCONINO            
100,AZ,AZ, 4,86004, 1,1,1,1,N, , 4, 1,107,0830,2300,062088,062288,     0.5,    35.3,   150.245112,0,0,  5,COCONINO            
101,AZ,AZ, 4,86004, 1,1,1,3,N, , 1, 1,109,1900,2000,062688,062888,     0.5,     0.0,   128.784975,0,0,  5,COCONINO            
102,AZ,AZ, 4,86004, 1,5,1,7,N, , 4, 1,116,1400,1600,070788,070788,     0.2,     0.0,   150.245112,0,0,  5,COCONINO            
103,AZ,AZ, 4,86017, 1,1,1,3,N, , 4, 1, 86,1120,1215,060688,060688,     0.3,     0.0,   150.245112,0,0,  5,COCONINO            
104,AZ,AZ, 4,86017, 1,1,1,2,N, , 5, 1,115,1945,1949,062788,062988,     0.7,    47.5,   120.341352,0,0,  5,COCONINO            
105,AZ,AZ, 4,86022, 1,1,1,2,N, , 3, 1, 29,0900,0900,112887,113087,     0.5,     0.0,   147.430770,0,0,  5,COCONINO            
106,AZ,AZ, 4,86022, 1,2,1,3,N, , 2, 1, 75,1600,1600,040488,040488,     0.5,     0.0,   136.060971,0,0,  5,COCONINO            
107,AZ,AZ, 4,86022, 1,1,0,4,Y, , 3, 1, 75,0800,0800,042588,042788,     2.3,     9.1,   147.430770,0,0,  5,COCONINO            
108,AZ,AZ, 4,86040, 1,1,1,7,N, , 1, 1, 31,1715,1800,121387,121587,     0.7,    48.4,   128.784975,0,0,  5,COCONINO            
109,AZ,AZ, 4,86040, 1,0,9,0, , , 5, 1, 51,1045,0000,021188,010199,     0.0,     0.0,   120.341352,0,0,  5,COCONINO            
110,AZ,AZ, 4,86040, 1,1,1,7,N, , 2, 1, 64,1810,1814,032288,032488,     0.1,     0.0,   136.060971,0,0,  5,COCONINO            
111,AZ,AZ, 4,86040, 1,1,1,3,N, , 3, 1, 67,1617,1617,032088,032288,     1.1,    15.4,   147.430770,0,0,  5,COCONINO            
112,AZ,AZ, 4,86040, 1,1,1,3,N, , 4, 1, 81,1800,1830,052388,052588,     0.2,     0.0,   150.245112,0,0,  5,COCONINO            
113,AZ,AZ, 4,86040, 1,1,1,2,N, , 1, 1,  5,2030,0330,070788,070788,     0.1,     0.0,   128.784975,0,0,  5,COCONINO            
114,AZ,AZ, 4,86046, 1,1,1,7,N, , 2, 1, 34,1100,1100,122687,122887,     0.6,    36.1,   136.060971,0,0,  5,COCONINO            
115,AZ,AZ, 4,86046, 1,1,1,2,N, , 5, 1, 50,1020,1100,013088,020288,     1.4,    16.3,   120.341352,0,0,  5,COCONINO            
116,AZ,AZ, 4,86046, 1,1,1,3,N, , 3, 1, 79,0845,1100,042088,042288,     0.1,     0.0,   147.430770,0,0,  5,COCONINO            
117,AZ,AZ, 4,86336, 1,1,1,2,N, , 5, 1, 21,2000,2000,112187,112387,     1.9,    13.6,   120.341352,0,0,  5,COCONINO            
118,AZ,AZ, 4,86336, 1,1,1,1,Y, , 1, 1, 21,1000,1100,112187,112387,     1.5,    17.3,   128.784975,0,0,  5,COCONINO            
119,AZ,AZ, 4,86336, 1,1,1,7,Y, , 2, 1, 26,0900,0730,112787,112987,     0.8,    26.9,   136.060971,0,0,  5,COCONINO            
120,AZ,AZ, 4,86336, 1,1,1,1,N, , 1, 1, 26,1500,1500,120287,120287,     1.1,    26.1,   128.784975,0,0,  5,COCONINO            
121,AZ,AZ, 4,86336, 1,1,1,3,N, , 5, 1, 37,1115,1045,120287,120287,     1.1,    20.4,   120.341352,0,0,  5,COCONINO            
122,AZ,AZ, 4,86336, 1,0,9,0, , , 1, 1, 33,1430,1430,120287,120287,     0.2,     0.0,   128.784975,0,0,  5,COCONINO            
123,AZ,AZ, 4,86336, 1,1,0,4,Y, , 2, 1, 36,1000,1000,121987,122187,     1.8,    13.8,   136.060971,0,0,  5,COCONINO            
124,AZ,AZ, 4,86336, 1,1,1,2,N, , 1, 1, 43,0745,0745,010188,011188,     0.8,    24.3,   128.784975,0,0,  5,COCONINO            
125,AZ,AZ, 4,86336, 1,1,1,3,N, , 2, 1, 40,1350,1350,123187,010188,     1.0,    19.1,   136.060971,0,0,  5,COCONINO            
126,AZ,AZ, 4,86336, 1,1,0,2,Y, , 3, 1, 48,0940,0956,012888,013088,     3.7,     8.3,   147.430770,0,0,  5,COCONINO            
127,AZ,AZ, 4,86336, 1,1,1,1,N, , 4, 1, 67,2000,2030,032288,032488,     0.6,    30.6,   150.245112,0,0,  5,COCONINO            
128,AZ,AZ, 4,86336, 1,1,1,7,N, , 1, 1, 67,1500,1500,031788,032088,     0.5,    44.2,   128.784975,0,0,  5,COCONINO            
129,AZ,AZ, 4,86336, 1,1,1,3,N, , 1, 1, 78,1200,1200,041588,041788,     0.9,    26.3,   128.784975,0,0,  5,COCONINO            
130,AZ,AZ, 4,86336, 1,1,1,1,N, , 1, 1, 84,1830,1830,052588,052788,    13.5,     3.1,   128.784975,0,0,  5,COCONINO            
131,AZ,AZ, 4,86336, 1,1,1,1,N, , 4, 1, 85,0700,0700,060688,060688,     0.4,     0.0,   150.245112,0,0,  5,COCONINO            
132,AZ,AZ, 4,86336, 1,1,1,3,N, , 5, 1, 90,1000,1100,071088,071288,     0.4,     0.0,   120.341352,0,0,  5,COCONINO            
133,AZ,AZ, 4,86336, 1,1,1,3,N, , 3, 1, 98,1018,1100,072488,072688,     0.8,    41.5,   147.430770,0,0,  5,COCONINO            
134,AZ,AZ, 4,86336, 1,1,1,1,N, , 1, 1,121,1430,1430,062988,070788,     0.3,     0.0,   128.784975,0,0,  5,COCONINO            
135,AZ,AZ, 4,86336, 1,1,1,5,N, , 5, 1,111,0800,0800,070788,070788,     0.1,     0.0,   120.341352,0,0,  5,COCONINO            
136,AZ,AZ, 4,86336, 1,1,1,3,N, , 3, 1,121,1427,1430,070788,070788,     0.2,     0.0,   147.430770,0,0,  5,COCONINO            
137,AZ,AZ, 4,86336, 1,1,1,2,N, , 2, 1,122,1500,1515,070788,070788,     1.4,    23.5,   136.060971,0,0,  5,COCONINO            
138,AZ,AZ, 4,86336, 1,1,1,5,N, , 4, 1,108,1130,1205,062088,062288,     0.2,     0.0,   150.245112,0,0,  5,COCONINO            
139,AZ,AZ, 4,86336, 1,0,9,0, , , 4, 1,  1,2130,2130,050588,050588,     0.9,    30.7,   150.245112,0,0,  5,COCONINO            
140,AZ,AZ, 4,86336, 1,1,1,3,N, , 3, 1,  5,0700,0700,050588,051188,     0.0,     0.0,   147.430770,0,0,  5,COCONINO            
141,AZ,AZ, 4,86336, 1,1,1,7,N, , 1, 1, 10,1045,1030,050588,050588,     0.5,    27.8,   128.784975,2,0,  5,COCONINO            
142,AZ,AZ, 4,86336, 1,1,1,1,N, , 1, 1, 12,1100,1100,050588,050588,     0.5,    36.7,   128.784975,0,0,  5,COCONINO            
143,AZ,AZ, 4,86340, 1,1,1,3,N, , 5, 1,104,1340,1405,062888,063088,     0.1,     0.0,   120.341352,0,0,  5,COCONINO            
144,AZ,AZ, 4,85501, 2,1,1,3,N, , 1, 2, 57,0810,0815,022788,022988,     0.9,    19.6,   359.164059,0,0,  7,GILA                
145,AZ,AZ, 4,85532, 2,1,1,1,N, , 2, 2,119,1900,1900,071188,071388,     0.0,     0.0,   363.432059,0,0,  7,GILA                
146,AZ,AZ, 4,85539, 2,1,0,4,Y, , 5, 2, 37,1630,1930,121787,121987,     0.9,    25.6,   364.958323,0,0,  7,GILA                
147,AZ,AZ, 4,85541, 2,1,1,2,Y, , 1, 2, 28,1600,1900,112987,120287,     1.2,    17.0,   359.164059,0,0,  7,GILA                
148,AZ,AZ, 4,85541, 2,1,1,7,N, , 4, 2, 44,0700,0700,011088,011288,     2.1,    11.3,   364.804020,0,0,  7,GILA                
149,AZ,AZ, 4,85541, 2,1,1,3,N, , 4, 2, 49,1345,1345,012188,012388,     0.6,    45.1,   364.804020,0,0,  7,GILA                
150,AZ,AZ, 4,85541, 2,1,1,3,N, , 1, 2, 72,1700,1800,040488,040488,     0.7,    35.6,   359.164059,0,0,  7,GILA                
151,AZ,AZ, 4,85541, 2,1,1,1,N, , 5, 2, 92,0640,0636,060688,061188,     1.7,    12.0,   364.958323,0,0,  7,GILA                
152,AZ,AZ, 4,85541, 2,1,1,2,N, , 5, 2, 94,1230,1230,061988,062188,     0.3,     0.0,   364.958323,0,0,  7,GILA                
153,AZ,AZ, 4,85541, 2,1,1,7,N, , 2, 2,114,1230,1230,062688,062888,     0.8,    25.8,   363.432059,0,0,  7,GILA                
154,AZ,AZ, 4,85541, 2,1,1,3,N, , 4, 2, 13,0800,0800,051288,051488,     1.3,    20.2,   364.804020,0,0,  7,GILA                
155,AZ,AZ, 4,85544, 2,1,1,7,N, , 5, 2, 64,1445,0800,031488,031788,     1.7,    14.2,   364.958323,0,0,  7,GILA                
156,AZ,AZ, 4,85547, 2,1,1,3,N, , 5, 2, 58,1100,1100,022988,030388,     2.4,    14.1,   364.958323,0,0,  7,GILA                
157,AZ,AZ, 4,85536, 2,1,1,1,N, , 5, 1, 86,0645,0639,052988,053188,     0.3,     0.0,   120.341352,0,0,  9,GRAHAM              
158,AZ,AZ, 4,85543, 2,1,1,3,N, , 2, 1, 57,1600,1400,022788,030388,     1.5,    13.4,   136.060971,0,0,  9,GRAHAM              
159,AZ,AZ, 4,85543, 2,1,1,3,N, , 5, 1, 99,0000,0000,061288,061488,     0.0,     0.0,   120.341352,0,0,  9,GRAHAM              
160,AZ,AZ, 4,85543, 2,0,9,0, , , 5, 1, 11,0730,0730,050588,050588,     2.8,    10.3,   120.341352,0,0,  9,GRAHAM              
161,AZ,AZ, 4,85546, 2,1,1,2,N, , 3, 1, 26,0830,0830,113087,120287,     1.8,    17.3,   147.430770,0,0,  9,GRAHAM              
162,AZ,AZ, 4,85546, 2,0,9,0, , , 3, 1, 25,1530,1630,112587,112787,     2.7,    10.4,   147.430770,0,0,  9,GRAHAM              
163,AZ,AZ, 4,85546, 2,1,1,3,N, , 2, 1, 32,0530,0530,120287,121187,     1.1,    23.3,   136.060971,0,0,  9,GRAHAM              
164,AZ,AZ, 4,85546, 2,1,1,3,N, , 2, 1, 31,1300,1400,120287,120287,     2.4,    11.5,   136.060971,0,0,  9,GRAHAM              
165,AZ,AZ, 4,85546, 2,1,1,1,N, , 5, 1, 35,1530,1530,121887,122087,     0.7,    63.0,   120.341352,0,0,  9,GRAHAM              
166,AZ,AZ, 4,85546, 2,1,1,2,N, , 1, 1, 41,1755,1755,010188,010188,     2.1,    12.3,   128.784975,0,0,  9,GRAHAM              
167,AZ,AZ, 4,85546, 2,1,1,3,N, , 5, 1, 46,0700,0900,011888,012088,     0.7,    31.5,   120.341352,0,0,  9,GRAHAM              
168,AZ,AZ, 4,85546, 2,1,1,1,N, , 1, 1, 57,2257,2350,022788,022988,     0.6,    67.9,   128.784975,0,0,  9,GRAHAM              
169,AZ,AZ, 4,85546, 2,1,1,1,N, , 1, 1, 58,0730,0730,030388,030388,     1.5,    18.4,   128.784975,0,0,  9,GRAHAM              
170,AZ,AZ, 4,85546, 2,1,1,1,N, , 2, 1, 70,1305,1315,032388,032588,     0.8,    25.4,   136.060971,0,0,  9,GRAHAM              
171,AZ,AZ, 4,85546, 2,1,1,2,N, , 5, 1, 83,1550,1830,052388,052588,     1.2,    26.8,   120.341352,0,0,  9,GRAHAM              
172,AZ,AZ, 4,85546, 2,1,1,1,N, , 4, 1, 97,1330,1530,061388,061588,     0.2,     0.0,   150.245112,0,0,  9,GRAHAM              
173,AZ,AZ, 4,85546, 2,1,1,2,N, , 5, 1, 87,0600,0600,060688,061088,     0.6,    35.1,   120.341352,0,0,  9,GRAHAM              
174,AZ,AZ, 4,85546, 2,1,1,3,N, , 5, 1,113,1315,1415,070788,070788,     0.2,     0.0,   120.341352,0,0,  9,GRAHAM              
175,AZ,AZ, 4,85546, 2,1,1,3,N, , 3, 1,112,1900,1900,062688,062888,     0.2,     0.0,   147.430770,0,0,  9,GRAHAM              
