1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1.94,0.87,1.41,2.96,4.85,3.01,3.83,-4.27,-0.19,2.52,-3.4,-0.49,4.22,8.5,4.56,-6.5,3.16,3.16,5.19,1.94,-0.29,6.5,3.54,3.98,2.57,4.37,8.4,-6.46,8.69,1.46,5.63,3.74,1.5,4.17,9.13,8.4,0.68,3.93,4.47,1.89,1.12,3.16,0.68,2.72,-7.38,-1.31,2.77,-0.34,-0.92,8.79,6.46,-0.63,3.54,8.79,3.64,-0.44,2.18,3.11,1.5,6.75,9.08,0.34,-1.99,1.5,7.33,2.82,4.08,4.03,0.73,1.65,-0.34,2.91,-6.07,-6.07,-5.97,7.28,-7.09,4.85,-7.18,-7.48,2.14,1.07,8.98,-5.97,-6.17,-4.51,-3.88,0.34,9.17,0.73,-0.83,-0.78,5.68,-1.7,-1.7,-1.7,-5.1,-5.05,1.65,-5.05
1.02,3.2,3.2,2.86,2.38,1.21,0.97,3.2,-1.41,1.21,3.2,1.12,0.58,5.44,0.53,4.22,-2.57,3.64,4.08,1.21,0.83,0.53,5.15,5.15,3.16,-4.37,5.73,-6.46,6.7,0.68,2.62,3.4,0.83,1.17,3.01,2.62,0.83,0.92,-6.8,0.53,3.54,1.12,2.96,-2.14,2.77,5.39,3.2,3.64,2.82,5.73,3.06,0.68,5.34,2.77,0.53,3.11,4.03,-8.83,-3.93,-1.36,3.4,5.97,-3.64,1.21,0.49,3.54,-1.89,0.92,1.31,2.96,2.77,2.77,2.82,2.52,2.52,6.5,2.52,2.52,2.52,2.52,1.02,-0.29,2.18,2.14,2.14,-0.53,2.72,2.23,2.14,1.07,1.07,-4.22,3.11,0.78,-9.47,-6.6,0.73,-4.51,-4.13,3.06
5.92,-1.65,5.92,5.87,3.06,3.35,2.72,0.1,5.92,2.96,6.31,6.99,0.44,6.12,0.49,-2.09,0.97,3.3,2.52,2.77,3.54,3.93,2.82,5.87,5.92,6.55,5.63,6.89,5.68,3.3,7.38,5.44,5.87,2.48,5.39,5.68,3.3,1.12,0.44,3.74,1.21,3.5,5.87,5.87,7.62,7.82,3.88,7.62,3.16,6.99,7.57,6.21,3.4,7.43,3.3,6.5,0.58,-0.87,1.07,0.0,3.88,5.58,1.12,0.49,7.91,3.4,5.87,7.09,5.49,3.35,0.39,6.12,0.39,0.0,-0.29,-1.02,-0.29,8.45,8.01,3.3,7.72,5.63,5.68,1.41,1.36,1.55,5.24,1.55,-0.39,-0.39,-0.53,0.1,0.1,0.39,0.39,0.39,-0.15,0.15,0.34,-0.15
2.96,2.96,2.96,2.96,3.74,2.96,3.74,0.78,2.96,2.96,3.2,3.2,3.74,3.2,3.74,3.74,0.29,3.74,3.74,3.74,3.2,3.2,2.96,2.96,3.16,3.25,3.25,3.2,3.25,2.96,3.2,3.25,2.96,2.96,3.25,3.2,2.96,3.2,3.2,3.2,2.96,3.2,2.96,2.96,3.2,3.2,2.96,3.25,3.2,2.96,2.96,2.96,3.74,3.16,2.96,3.2,2.96,2.96,2.96,2.96,3.25,3.25,3.16,2.96,3.2,3.25,3.74,3.2,3.2,2.96,2.82,2.82,2.82,2.82,2.82,3.74,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,3.74,3.74,2.82,2.82,2.82,2.82,2.82,2.82,2.77,3.11
0.15,-3.2,6.46,2.62,-2.91,-4.37,2.04,2.38,-5.05,-3.01,8.93,1.6,-0.44,2.43,1.89,-1.99,2.14,-4.22,0.39,-0.63,6.89,2.18,-7.33,-7.62,2.96,7.77,2.86,1.46,8.25,-5.0,-0.24,2.38,6.6,-3.88,8.01,7.33,-4.76,-3.2,-1.6,-5.15,3.2,8.54,-5.34,-7.14,0.78,5.15,0.97,-2.72,5.39,4.27,0.87,0.34,7.28,7.86,-3.59,4.9,-5.24,-8.16,-3.83,-5.97,0.78,-0.53,-0.92,-8.06,2.33,-5.44,-7.86,-3.45,8.79,-3.98,-3.54,1.41,1.41,-2.77,-0.29,4.71,-4.27,-4.47,-5.0,-3.5,-1.5,0.0,-4.08,2.96,-8.25,-8.83,-4.66,-6.84,7.33,-6.94,-2.09,-4.51,-2.14,-7.72,-5.15,-5.29,-3.79,-1.99,-4.9,6.07
8.79,5.1,5.49,0.92,5.83,7.91,4.51,5.05,7.86,7.04,7.09,7.04,1.46,8.59,-0.24,3.83,4.37,8.59,4.08,2.33,6.41,5.58,8.83,6.99,6.55,6.8,8.4,8.01,3.16,8.83,5.39,8.93,5.19,6.94,5.29,8.5,6.94,8.98,5.29,5.68,5.0,3.11,7.91,2.09,7.52,9.13,8.16,6.94,7.14,5.78,5.15,4.22,5.39,8.11,8.88,7.91,0.78,0.83,3.93,6.6,6.46,9.08,8.25,4.13,6.94,5.0,8.45,8.98,5.05,8.83,3.2,3.2,6.65,1.02,1.75,2.91,3.35,3.54,2.77,2.77,2.77,1.7,3.2,3.2,1.31,3.45,2.48,3.64,7.09,3.64,3.64,3.88,3.83,2.77,0.29,2.77,1.46,-2.77,2.18,-1.21
-7.82,9.17,-9.08,-9.03,-8.93,6.5,7.77,-9.08,-9.42,-7.96,-5.68,4.22,1.99,8.64,-8.83,-8.11,-9.13,3.45,9.13,4.17,7.23,-8.88,5.34,-8.93,-9.42,3.54,8.54,1.36,8.45,7.96,8.5,5.19,-5.63,-7.62,8.45,8.06,-6.84,-6.26,5.49,-8.93,3.74,8.59,-8.54,-8.54,8.74,-7.33,-7.18,8.35,8.98,8.54,1.07,-0.29,9.13,1.84,-5.05,9.17,-8.98,-9.03,7.04,-5.68,8.16,9.03,8.69,-9.22,-7.48,2.52,-8.69,6.26,8.93,-3.79,5.92,9.03,8.93,5.68,-9.22,-4.32,8.25,7.91,7.96,5.97,-8.93,-3.74,-1.89,3.11,5.78,-9.56,4.08,8.79,9.03,3.54,9.08,2.28,8.59,-6.5,-3.5,3.3,0.0,-9.27,1.46,8.06
3.16,5.0,-1.31,2.33,-7.33,6.8,-4.13,6.26,5.15,2.09,4.51,-0.83,-6.21,1.89,-6.21,0.29,-2.96,-3.93,-3.93,3.5,6.5,2.04,6.6,-7.18,0.15,0.34,1.5,4.03,-6.75,4.9,8.11,8.45,-7.67,-0.15,2.28,5.1,4.42,2.77,1.8,7.38,7.33,3.59,-5.78,-0.58,1.8,-1.07,4.51,4.42,-7.72,4.51,3.35,5.15,8.06,5.87,7.62,5.83,5.0,-6.75,-6.7,5.53,2.91,1.75,0.78,4.56,6.94,6.65,6.55,3.74,3.4,6.7,1.21,0.39,5.92,1.7,3.93,3.5,3.16,5.15,3.69,6.17,3.64,6.36,6.36,0.78,4.81,1.17,6.5,6.46,3.93,-0.63,6.55,8.98,5.24,3.4,8.54,-6.46,2.62,-7.14,-0.1,6.31
-8.59,-7.86,-7.86,-5.05,-5.39,7.86,-9.08,-8.54,-6.84,-8.59,-8.11,-7.57,-3.64,-8.74,-8.88,-0.19,-5.05,-3.3,-0.87,-8.74,6.89,-7.33,-7.96,-9.17,7.33,-7.43,-0.49,6.12,-7.96,-8.16,6.36,-4.22,-8.74,6.02,4.61,-0.39,-8.69,-8.2,5.53,-8.35,-9.17,6.89,-8.16,2.38,-0.78,-3.64,1.8,-0.49,7.04,5.05,-9.13,2.18,1.36,-7.14,-8.79,7.38,-8.88,-9.13,-8.3,-6.55,-8.5,-9.27,-6.07,-9.17,-6.75,3.79,-7.67,6.55,5.78,6.55,-7.38,7.96,4.13,-8.64,-6.55,5.34,2.82,4.03,-6.46,5.83,4.47,5.63,5.68,5.83,-0.63,4.03,6.02,1.02,4.13,-8.79,-0.44,5.24,5.87,0.05,-8.69,3.5,-8.35,-0.53,-2.52,-0.87
6.21,7.82,-5.92,1.84,-0.49,2.62,7.18,-4.66,-3.2,-9.22,-3.45,1.7,4.37,-2.14,-9.56,5.15,4.61,7.28,5.19,4.22,4.51,1.12,-7.43,-9.66,-1.6,5.68,6.21,-5.0,3.83,1.21,9.27,6.75,0.49,-3.01,6.17,7.04,3.06,-3.35,-3.69,-0.78,-4.66,3.83,-3.93,-3.59,-3.35,3.69,5.05,4.13,6.6,8.45,-6.21,-2.52,7.14,5.73,2.77,6.17,7.38,-9.37,-3.74,-2.48,6.07,7.67,1.65,-7.91,1.94,4.37,0.34,5.49,7.48,-3.83,-6.5,3.79,-6.84,-6.02,-6.17,-3.79,0.73,1.07,-3.16,1.55,5.68,7.77,2.62,6.84,-6.26,-5.63,-6.65,-2.72,2.86,2.86,-5.83,-3.98,3.3,6.89,-2.48,-3.25,6.31,5.39,2.62,2.57
-7.43,-8.74,-7.82,-7.62,-8.74,-8.59,-7.86,0.0,-8.2,5.97,-9.27,7.28,-9.66,-8.74,-8.35,-0.63,6.89,0.29,-8.35,6.46,-8.01,6.84,-8.79,-8.5,-9.47,-8.06,5.78,7.77,0.34,-8.69,-8.69,7.43,-8.88,6.65,-8.83,6.02,-8.79,-8.01,-8.3,-8.25,-8.01,-8.25,-8.01,-9.08,-7.43,7.09,-9.27,-7.52,-1.17,6.36,-8.54,-7.62,6.94,-0.87,6.8,-2.33,-8.93,-9.37,-9.13,-6.12,-9.32,-8.64,-8.25,-7.77,-8.5,6.12,-9.37,-0.24,-8.11,-8.88,-8.01,-8.2,-8.69,-9.42,7.77,-8.83,-9.47,6.5,-1.17,-9.51,-8.4,-8.88,-8.93,-9.22,-9.51,-0.19,6.41,-8.16,6.46,-8.35,-8.64,-8.64,-8.2,-8.01,-8.88,-7.77,-1.17,-8.74,-8.79,-8.93
1.26,1.12,-1.89,-3.98,-4.17,1.99,1.84,1.17,2.43,4.47,4.95,3.64,2.77,4.17,3.4,-5.24,5.29,-2.09,-2.09,0.24,1.21,-1.07,-5.34,-6.46,3.83,3.79,5.73,4.95,5.92,-6.99,1.46,2.72,0.73,5.97,4.22,5.39,-0.97,8.01,3.79,-2.57,4.08,3.69,-2.77,-1.8,4.81,4.37,3.16,-0.92,6.55,8.45,1.12,3.2,6.55,2.57,4.51,4.61,-2.62,-6.65,2.09,-1.84,4.03,6.94,3.64,-0.92,3.35,-0.92,-3.59,-1.55,3.83,6.36,-6.07,5.68,-5.97,-0.73,-5.63,-3.64,-5.1,2.48,3.06,-2.82,-4.13,4.22,1.65,3.74,-6.46,-6.41,-5.63,4.08,3.45,-7.91,-8.01,0.63,2.62,-8.59,-3.3,3.3,2.28,5.15,3.88,2.77
1.26,-3.74,-3.35,-6.26,-1.26,-4.13,-4.71,-4.32,-4.03,-4.13,-3.3,1.75,-4.32,-4.42,-4.27,-4.27,-2.62,-3.5,-0.97,-3.69,-3.35,-4.03,-3.35,-4.32,-3.74,-3.11,6.41,0.39,5.19,-4.03,5.73,-4.13,-3.93,-3.35,2.82,6.02,-4.47,-3.3,-3.69,-4.03,-4.17,-4.03,-3.45,-5.73,7.14,4.61,0.53,-0.1,2.91,4.13,-4.03,-3.64,-0.53,3.88,-3.79,2.09,-3.93,-7.52,-3.69,-3.69,3.88,4.47,-8.93,-4.22,-5.0,2.57,-4.03,-1.17,7.72,-3.59,-3.01,-0.29,-1.6,-3.2,-2.48,-1.89,-1.84,-3.01,-4.13,0.15,0.15,-3.54,-3.01,-3.98,1.46,-2.43,1.02,-2.82,-5.34,-4.66,-3.11,-3.06,6.21,-3.2,-3.2,-3.2,-3.88,-3.35,-3.35,-4.32
3.5,6.21,-0.63,2.86,0.58,-0.05,-2.82,-0.29,-6.02,2.52,1.94,5.44,1.02,1.89,-5.15,-9.22,-5.73,-4.17,-5.83,-5.63,8.64,-7.67,1.84,-7.48,1.7,3.2,6.94,0.53,3.01,-4.76,8.98,7.43,-0.78,2.28,3.5,4.42,-9.51,0.44,6.02,-2.86,-0.1,8.98,2.96,-5.39,-1.07,6.84,0.83,8.4,9.22,1.75,1.55,2.86,7.82,6.12,2.67,-0.05,-8.11,-7.04,-7.96,-6.02,5.63,0.92,2.09,0.05,6.89,3.93,-2.82,0.05,4.71,0.15,-8.88,8.25,8.5,-3.4,5.63,3.54,7.96,0.19,2.77,8.4,-0.44,1.55,8.93,-4.03,4.17,-0.58,1.84,0.58,3.25,-6.36,1.6,1.12,1.12,0.19,2.14,0.73,2.09,1.6,6.36,5.63
5.44,-2.67,-7.96,-6.8,-6.84,-3.25,-6.8,2.09,-0.49,-0.58,-4.17,-4.47,-6.36,-3.25,1.94,3.11,-5.24,-3.74,-4.08,-4.22,-3.79,-4.22,-6.26,-3.64,-4.17,-4.37,-4.9,-2.77,-5.29,-4.08,-4.47,-1.41,-4.9,-4.37,-2.96,-3.98,-6.02,-4.32,-4.32,-3.98,-4.85,-4.42,-0.44,-7.91,-4.17,-0.39,-4.08,-3.11,-6.75,-3.2,-3.69,-4.13,-4.61,-1.94,-3.5,0.0,-6.5,-7.86,-4.71,-2.14,-3.2,-4.56,-0.53,-4.66,-4.42,-4.47,5.29,-1.7,-4.03,-4.27,-7.23,-1.07,-4.76,-6.94,-6.21,-7.96,-5.87,-3.59,-6.6,-4.51,-6.26,-2.82,-7.52,-3.59,-5.78,7.33,-3.45,0.44,-3.64,-0.78,-1.02,-3.06,1.36,7.33,-9.51,-2.18,-1.12,-9.66,-5.53,-7.23
2.38,-5.44,-8.11,-6.99,3.2,1.55,-9.61,5.53,-0.05,1.6,-4.9,6.5,-8.54,3.83,-9.42,-4.42,-0.78,-3.3,2.77,-9.61,5.15,1.6,5.24,-2.09,-3.16,5.68,4.71,3.93,0.97,-6.5,6.5,4.56,-5.58,4.42,4.13,4.27,-3.88,3.3,5.68,1.55,-7.04,6.17,-3.64,-6.99,-1.89,4.71,7.57,5.39,5.0,2.67,-8.93,-6.6,5.92,5.63,3.93,7.43,-7.62,-2.82,1.02,-6.94,5.68,6.41,0.44,-5.58,6.12,4.76,-5.73,5.1,4.47,2.96,-8.16,3.93,3.93,5.83,5.83,5.83,5.87,5.87,-0.24,8.16,4.22,-6.02,6.8,6.17,7.52,4.08,1.17,5.53,9.22,0.53,6.17,4.81,8.83,4.51,0.68,2.62,4.32,1.12,1.31,0.44
-8.5,-6.6,-8.45,-7.82,-8.74,5.78,-8.45,-7.23,-7.28,-6.46,-6.41,6.26,6.31,7.62,6.7,-8.74,5.73,-6.6,7.57,-7.72,5.83,6.41,5.83,7.77,-9.32,-8.64,7.77,-5.49,6.02,6.84,7.86,5.92,5.0,7.52,-7.57,8.35,-7.18,-8.4,7.18,-7.77,-8.45,6.65,8.5,-8.3,6.94,-7.67,7.72,-8.01,7.48,-7.52,7.09,8.5,6.02,-7.86,6.75,-7.18,-6.41,-8.01,6.41,-8.11,-7.18,5.92,-7.86,-7.43,-6.36,-6.75,6.02,-6.8,8.11,6.36,7.43,7.38,6.26,-8.79,6.31,8.35,5.83,6.12,4.95,7.72,-6.89,7.33,7.57,5.63,7.18,-7.62,6.94,6.07,6.07,-8.25,8.2,8.01,6.89,6.6,7.14,7.14,-7.67,7.04,-9.56,6.17
2.28,1.7,-5.53,-0.87,8.3,7.86,-7.04,1.46,6.7,7.09,3.25,3.06,-0.63,-9.42,4.32,4.37,-3.83,4.51,6.31,-5.1,-8.93,4.66,8.5,-2.52,0.68,-5.83,5.87,4.66,-8.54,1.99,4.13,2.57,2.38,-9.13,-3.54,1.6,-4.9,8.64,-5.53,2.18,2.72,-8.93,7.57,2.33,-8.93,2.77,6.65,-8.64,7.52,-3.83,-9.32,-5.87,2.82,-7.67,1.84,-4.13,-3.01,-0.44,6.55,7.04,-0.44,8.35,5.39,5.19,-8.83,4.9,8.4,4.27,2.67,4.9,8.64,3.35,4.76,6.02,-5.0,-5.73,8.64,4.66,5.78,2.91,4.66,4.17,2.43,4.66,2.62,6.7,1.84,5.15,9.13,5.05,8.98,1.99,4.51,8.64,4.9,5.34,8.25,-9.37,6.41,-9.27
3.06,6.5,-7.91,-6.7,6.8,-8.2,7.96,1.41,-8.01,-2.57,-8.54,-3.83,5.39,3.93,4.51,-8.64,1.7,-5.83,-4.17,7.28,1.55,-4.85,4.66,-7.62,-9.08,0.87,7.48,-6.26,7.23,-7.91,-6.55,2.67,-7.91,1.8,-6.65,3.98,-8.98,-6.41,-2.38,2.77,1.12,3.01,1.94,3.83,-6.31,-7.57,4.32,-6.55,-0.78,6.89,-7.91,-8.98,0.19,7.72,-2.72,3.06,-9.76,-9.76,-8.69,-8.25,2.48,7.62,-8.01,5.78,-1.31,-9.56,-7.62,7.77,-8.45,-7.62,9.17,8.93,1.99,-9.13,-9.13,-9.13,8.74,-9.27,8.88,8.64,-9.76,-9.17,8.93,-9.81,9.13,9.08,-9.08,-9.08,0.78,-9.71,8.83,-9.17,3.88,8.69,9.13,-8.5,9.13,9.13,7.48,-8.79
2.82,5.44,7.57,2.86,7.09,6.99,6.99,6.07,2.43,8.11,8.74,7.67,-5.68,8.35,-6.12,-2.67,-0.49,-0.05,1.55,7.14,7.28,8.88,1.6,-7.38,3.35,8.45,6.7,8.93,1.31,6.99,6.12,-7.23,7.48,6.55,6.75,0.97,0.44,7.14,8.88,5.63,-7.14,-6.8,3.35,5.92,7.28,7.28,0.1,-0.92,0.19,-1.46,7.52,8.11,1.17,2.48,0.29,7.67,-0.63,2.82,6.6,5.58,4.71,4.27,1.75,3.35,8.11,7.18,7.28,3.64,8.11,3.16,6.89,6.99,5.78,7.62,8.35,4.17,6.41,5.63,5.92,6.6,7.57,7.04,8.4,6.46,6.46,6.31,6.31,7.72,8.93,3.83,2.23,6.5,6.99,8.11,8.06,4.27,4.61,3.93,5.05,3.35
