stfips,ctfips,st,cty,lon,lat,Uppm
05,025,AR,CLEVELAND, -92.185,  33.898,1.85334
05,027,AR,COLUMBIA, -93.227,  33.214,1.58625
05,029,AR,CONWAY, -92.701,  35.262,2.13384
05,031,AR,CRAIGHEAD, -90.633,  35.831,2.07303
05,033,AR,CRAWFORD, -94.244,  35.588,1.88102
05,035,AR,CRITTENDEN, -90.309,  35.206,2.07529
05,037,AR,CROSS, -90.771,  35.296,2.26853
05,039,AR,DALLAS, -92.654,  33.970,1.6472
05,041,AR,DESHA, -91.259,  33.835,1.85657
05,043,AR,DREW, -91.719,  33.590,1.79975
05,045,AR,FAULKNER, -92.332,  35.146,2.15406
05,047,AR,FRANKLIN, -93.891,  35.513,1.96134
05,049,AR,FULTON, -91.818,  36.382,1.72088
05,051,AR,GARLAND, -93.150,  34.576,1.70082
05,053,AR,GRANT, -92.423,  34.290,1.80624
05,055,AR,GREENE, -90.558,  36.118,2.09605
05,057,AR,HEMPSTEAD, -93.669,  33.735,1.67497
05,059,AR,HOTSPRING, -92.946,  34.318,1.67252
05,061,AR,HOWARD, -93.993,  34.089,1.6384
05,063,AR,INDEPENDENCE, -91.570,  35.741,1.9761
05,065,AR,IZARD, -91.914,  36.094,1.44687
05,067,AR,JACKSON, -91.214,  35.599,2.10858
05,069,AR,JEFFERSON, -91.932,  34.269,1.86682
05,071,AR,JOHNSON, -93.460,  35.570,1.97577
05,073,AR,LAFAYETTE, -93.608,  33.242,1.62248
05,075,AR,LAWRENCE, -91.107,  36.041,2.03848
05,077,AR,LEE, -90.778,  34.782,1.95004
05,079,AR,LINCOLN, -91.733,  33.957,1.83502
05,081,AR,LITTLERIVER, -94.235,  33.700,1.52338
05,083,AR,LOGAN, -93.717,  35.215,1.98625
05,085,AR,LONOKE, -91.889,  34.754,1.9414
05,087,AR,MADISON, -93.724,  36.011,1.73896
05,089,AR,MARION, -92.684,  36.268,1.4293
05,091,AR,MILLER, -93.894,  33.311,1.65128
05,093,AR,MISSISSIPPI, -90.053,  35.764,2.04507
05,095,AR,MONROE, -91.203,  34.679,1.89966
05,097,AR,MONTGOMERY, -93.659,  34.539,1.68723
05,099,AR,NEVADA, -93.307,  33.664,1.61448
05,101,AR,NEWTON, -93.218,  35.920,1.59052
05,103,AR,OUACHITA, -92.882,  33.593,1.63643
05,105,AR,PERRY, -92.932,  34.947,1.85052
05,107,AR,PHILLIPS, -90.849,  34.428,1.91815
05,109,AR,PIKE, -93.656,  34.163,1.50265
05,111,AR,POINSETT, -90.663,  35.574,2.12574
05,113,AR,POLK, -94.228,  34.486,1.74222
05,115,AR,POPE, -93.034,  35.449,1.96905
05,117,AR,PRAIRIE, -91.553,  34.829,1.98853
05,119,AR,PULASKI, -92.311,  34.770,1.79394
05,121,AR,RANDOLPH, -91.028,  36.341,1.98633
05,123,AR,STFRANCIS, -90.748,  35.022,2.16574
05,125,AR,SALINE, -92.677,  34.647,1.7541
05,127,AR,SCOTT, -94.063,  34.861,1.72812
05,129,AR,SEARCY, -92.699,  35.911,1.63125
05,131,AR,SEBASTIAN, -94.274,  35.199,1.94372
05,133,AR,SEVIER, -94.241,  33.997,1.56745
05,135,AR,SHARP, -91.480,  36.161,1.69873
05,137,AR,STONE, -92.157,  35.859,1.56174
05,139,AR,UNION, -92.598,  33.171,1.57249
05,141,AR,VANBUREN, -92.516,  35.581,1.85868
05,143,AR,WASHINGTON, -94.214,  35.980,1.72501
05,145,AR,WHITE, -91.745,  35.256,2.17795
05,147,AR,WOODRUFF, -91.242,  35.187,2.08367
05,149,AR,YELL, -93.410,  35.003,1.96408
06,001,CA,ALAMEDA,-121.917,  37.651,1.54997
06,003,CA,ALPINE,-119.819,  38.597,2.18801
06,005,CA,AMADOR,-120.651,  38.446,2.5718
06,007,CA,BUTTE,-121.599,  39.667,1.04025
06,009,CA,CALAVERAS,-120.553,  38.204,2.68298
06,011,CA,COLUSA,-122.235,  39.179,1.32467
06,013,CA,CONTRACOSTA,-121.951,  37.923,1.54202
06,015,CA,DELNORTE,-123.957,  41.745,0.618752
06,017,CA,ELDORADO,-120.524,  38.779,2.31432
06,019,CA,FRESNO,-119.650,  36.758,2.68071
06,021,CA,GLENN,-122.391,  39.599,1.18932
06,023,CA,HUMBOLDT,-123.913,  40.706,0.992292
06,025,CA,IMPERIAL,-115.364,  33.039,2.49404
06,027,CA,INYO,-117.411,  36.512,2.53886
06,029,CA,KERN,-118.729,  35.343,2.64711
06,031,CA,KINGS,-119.815,  36.075,2.38313
06,033,CA,LAKE,-122.751,  39.100,1.67538
06,035,CA,LASSEN,-120.593,  40.674,1.0447
06,037,CA,LOSANGELES,-118.501,  32.919,2.10113
06,037,CA,LOSANGELES,-118.233,  34.334,2.10113
06,037,CA,LOSANGELES,-118.417,  33.365,2.10113
06,039,CA,MADERA,-119.762,  37.218,2.8447
06,041,CA,MARIN,-122.742,  38.060,1.29143
06,043,CA,MARIPOSA,-119.907,  37.579,2.34869
06,045,CA,MENDOCINO,-123.431,  39.436,1.46772
06,047,CA,MERCED,-120.717,  37.193,2.55011
06,049,CA,MODOC,-120.724,  41.590,0.784871
06,051,CA,MONO,-118.886,  37.939,3.27664
06,053,CA,MONTEREY,-121.308,  36.240,2.30709
06,055,CA,NAPA,-122.331,  38.507,1.93971
06,057,CA,NEVADA,-120.767,  39.301,1.5161
06,059,CA,ORANGE,-117.775,  33.677,2.17578
06,061,CA,PLACER,-120.716,  39.064,2.01329
06,063,CA,PLUMAS,-120.837,  40.004,1.30982
06,065,CA,RIVERSIDE,-115.993,  33.744,2.72247
06,067,CA,SACRAMENTO,-121.345,  38.446,2.41149
06,069,CA,SANBENITO,-121.074,  36.606,2.21641
06,071,CA,SANBERNARDINO,-116.178,  34.842,2.59193
06,073,CA,SANDIEGO,-116.770,  33.028,1.84789
06,075,CA,SANFRANCISCO,-123.073,  37.743,0
06,075,CA,SANFRANCISCO,-122.442,  37.778,0
06,077,CA,SANJOAQUIN,-121.271,  37.935,2.49129
06,079,CA,SANLUISOBISPO,-120.451,  35.388,2.48984
06,081,CA,SANMATEO,-122.355,  37.438,1.11912
06,081,CA,SANMATEO,-122.147,  37.275,1.11912
06,083,CA,SANTABARBARA,-119.968,  34.011,2.56646
06,083,CA,SANTABARBARA,-119.037,  33.487,2.56646
06,083,CA,SANTABARBARA,-120.055,  34.701,2.56646
06,085,CA,SANTACLARA,-121.695,  37.233,1.64708
06,087,CA,SANTACRUZ,-122.008,  37.021,1.83296
06,089,CA,SHASTA,-122.039,  40.764,0.866229
06,091,CA,SIERRA,-120.515,  39.580,1.58486
06,093,CA,SISKIYOU,-122.539,  41.593,0.699093
06,095,CA,SOLANO,-121.941,  38.268,1.81441
06,097,CA,SONOMA,-122.922,  38.526,1.75664
06,099,CA,STANISLAUS,-120.997,  37.559,2.36348
06,101,CA,SUTTER,-121.693,  39.034,2.20258
06,103,CA,TEHAMA,-122.233,  40.126,0.967277
06,105,CA,TRINITY,-123.111,  40.652,0.807274
06,107,CA,TULARE,-118.800,  36.220,2.70465
06,109,CA,TUOLUMNE,-119.952,  38.027,2.46445
06,111,CA,VENTURA,-119.089,  34.447,2.58324
06,111,CA,VENTURA,-119.416,  34.015,2.58324
06,111,CA,VENTURA,-119.497,  33.243,2.58324
06,113,CA,YOLO,-121.901,  38.686,1.92205
06,115,CA,YUBA,-121.350,  39.269,1.2608
08,001,CO,ADAMS,-104.345,  39.875,2.36747
08,001,CO,ADAMS,-104.771,  39.785,2.36747
08,001,CO,ADAMS,-104.762,  39.782,2.36747
08,003,CO,ALAMOSA,-105.788,  37.573,2.58517
08,005,CO,ARAPAHOE,-104.338,  39.650,2.39613
08,005,CO,ARAPAHOE,-104.930,  39.671,2.39613
08,005,CO,ARAPAHOE,-104.935,  39.704,2.39613
08,005,CO,ARAPAHOE,-104.920,  39.667,2.39613
08,005,CO,ARAPAHOE,-104.898,  39.685,2.39613
08,005,CO,ARAPAHOE,-104.899,  39.624,2.39613
08,005,CO,ARAPAHOE,-104.899,  39.624,2.39613
08,007,CO,ARCHULETA,-107.048,  37.194,1.80798
08,009,CO,BACA,-102.560,  37.319,1.92763
08,011,CO,BENT,-103.071,  37.955,2.03159
08,013,CO,BOULDER,-105.357,  40.091,2.24611
08,015,CO,CHAFFEE,-106.195,  38.747,2.75627
08,017,CO,CHEYENNE,-102.603,  38.828,2.02233
08,019,CO,CLEARCREEK,-105.644,  39.689,2.02318
08,021,CO,CONEJOS,-106.190,  37.200,1.71222
08,023,CO,COSTILLA,-105.427,  37.279,2.5321
08,025,CO,CROWLEY,-103.784,  38.327,1.92557
08,027,CO,CUSTER,-105.366,  38.108,2.04282
08,029,CO,DELTA,-107.862,  38.861,2.68689
08,031,CO,DENVER,-104.876,  39.762,1.70388
08,031,CO,DENVER,-104.930,  39.671,1.70388
08,031,CO,DENVER,-105.081,  39.636,1.70388
08,031,CO,DENVER,-105.064,  39.653,1.70388
08,031,CO,DENVER,-105.062,  39.653,1.70388
08,031,CO,DENVER,-104.935,  39.704,1.70388
08,031,CO,DENVER,-104.920,  39.667,1.70388
08,031,CO,DENVER,-104.898,  39.685,1.70388
08,031,CO,DENVER,-104.771,  39.785,1.70388
08,031,CO,DENVER,-104.762,  39.782,1.70388
08,031,CO,DENVER,-104.899,  39.624,1.70388
08,031,CO,DENVER,-104.899,  39.624,1.70388
08,033,CO,DOLORES,-108.518,  37.751,1.99745
08,035,CO,DOUGLAS,-104.929,  39.330,2.16967
08,037,CO,EAGLE,-106.694,  39.627,2.12943
08,039,CO,ELBERT,-104.136,  39.287,2.26514
08,041,CO,ELPASO,-104.525,  38.832,2.22144
08,043,CO,FREMONT,-105.439,  38.473,2.81708
08,045,CO,GARFIELD,-107.903,  39.599,2.26036
08,047,CO,GILPIN,-105.521,  39.857,1.88149
08,049,CO,GRAND,-106.120,  40.102,2.33075
08,051,CO,GUNNISON,-107.032,  38.667,2.32059
08,053,CO,HINSDALE,-107.300,  37.821,2.04239
08,055,CO,HUERFANO,-104.959,  37.685,2.266
08,057,CO,JACKSON,-106.342,  40.666,2.6171
08,059,CO,JEFFERSON,-105.249,  39.588,1.93709
08,059,CO,JEFFERSON,-105.081,  39.636,1.93709
08,059,CO,JEFFERSON,-105.064,  39.653,1.93709
08,059,CO,JEFFERSON,-105.062,  39.653,1.93709
08,059,CO,JEFFERSON,-105.056,  39.635,1.93709
08,059,CO,JEFFERSON,-105.053,  39.626,1.93709
08,061,CO,KIOWA,-102.740,  38.433,2.05007
08,063,CO,KITCARSON,-102.602,  39.305,2.1796
08,065,CO,LAKE,-106.344,  39.201,2.56028
08,067,CO,LAPLATA,-107.843,  37.287,1.8455
08,069,CO,LARIMER,-105.460,  40.666,2.21146
08,071,CO,LASANIMAS,-104.039,  37.316,2.27823
08,073,CO,LINCOLN,-103.514,  38.988,1.99047
08,075,CO,LOGAN,-103.110,  40.725,2.34699
08,077,CO,MESA,-108.466,  39.018,2.11402
08,079,CO,MINERAL,-106.923,  37.670,1.63763
08,081,CO,MOFFAT,-108.207,  40.618,2.59788
08,083,CO,MONTEZUMA,-108.596,  37.338,2.17456
08,085,CO,MONTROSE,-108.269,  38.402,2.46689
08,087,CO,MORGAN,-103.809,  40.263,2.18253
08,089,CO,OTERO,-103.716,  37.903,2.17987
08,091,CO,OURAY,-107.768,  38.155,2.14828
08,093,CO,PARK,-105.718,  39.119,2.35011
08,095,CO,PHILLIPS,-102.357,  40.594,2.2793
08,097,CO,PITKIN,-106.916,  39.217,2.18739
08,099,CO,PROWERS,-102.393,  37.955,2.23646
08,101,CO,PUEBLO,-104.512,  38.173,2.53109
08,103,CO,RIOBLANCO,-108.216,  39.980,2.39416
08,105,CO,RIOGRANDE,-106.382,  37.582,1.55655
08,107,CO,ROUTT,-106.991,  40.485,2.04792
08,109,CO,SAGUACHE,-106.280,  38.081,2.22474
08,111,CO,SANJUAN,-107.676,  37.764,1.53416
08,113,CO,SANMIGUEL,-108.405,  38.003,2.18528
08,115,CO,SEDGWICK,-102.351,  40.876,2.45542
08,117,CO,SUMMIT,-106.117,  39.635,2.13999
08,119,CO,TELLER,-105.161,  38.882,2.66727
08,121,CO,WASHINGTON,-103.201,  39.971,2.30268
08,123,CO,WELD,-104.393,  40.554,2.27769
08,125,CO,YUMA,-102.424,  40.003,1.89392
09,001,CN,FAIRFIELD, -73.372,  41.225,0
09,003,CN,HARTFORD, -72.733,  41.806,0
09,005,CN,LITCHFIELD, -73.246,  41.792,0
09,007,CN,MIDDLESEX, -72.523,  41.435,0
09,009,CN,NEWHAVEN, -72.900,  41.349,0
09,011,CN,NEWLONDON, -72.107,  41.467,0
09,013,CN,TOLLAND, -72.337,  41.855,0
09,015,CN,WINDHAM, -71.988,  41.830,0
10,001,DE,KENT, -75.504,  39.096,1.24012
10,003,DE,NEWCASTLE, -75.639,  39.578,1.606
10,005,DE,SUSSEX, -75.340,  38.683,0.881872
11,001,DC,DISTRICTOFCO, -77.017,  38.904,0
12,001,FL,ALACHUA, -82.358,  29.675,1.8288
12,003,FL,BAKER, -82.285,  30.331,1.22516
12,005,FL,BAY, -85.633,  30.237,0.652275
12,007,FL,BRADFORD, -82.170,  29.950,1.49033
12,009,FL,BREVARD, -80.703,  28.299,0.732869
12,011,FL,BROWARD, -80.456,  26.151,0.435074
12,013,FL,CALHOUN, -85.196,  30.406,1.25574
12,015,FL,CHARLOTTE, -81.951,  26.899,0.805829
12,017,FL,CITRUS, -82.520,  28.847,1.56489
12,019,FL,CLAY, -81.858,  29.983,1.32301
12,021,FL,COLLIER, -81.381,  26.099,0.837977
12,023,FL,COLUMBIA, -82.622,  30.224,1.46117
12,025,FL,DADE, -80.501,  25.608,1.02222
12,027,FL,DESOTO, -81.810,  27.186,0.539096
12,029,FL,DIXIE, -83.186,  29.583,1.18019
12,029,FL,DIXIE, -82.910,  29.823,1.18019
12,031,FL,DUVAL, -81.648,  30.335,1.42241
12,033,FL,ESCAMBIA, -87.332,  30.609,1.28331
12,033,FL,ESCAMBIA, -86.857,  30.385,1.28331
12,035,FL,FLAGLER, -81.293,  29.471,0.936054
12,037,FL,FRANKLIN, -84.801,  29.812,1.04632
12,039,FL,GADSDEN, -84.614,  30.579,0.988752
12,041,FL,GILCHRIST, -82.799,  29.725,1.23667
12,043,FL,GLADES, -81.189,  26.956,0.51094
12,045,FL,GULF, -85.256,  29.911,1.25138
12,047,FL,HAMILTON, -82.949,  30.496,1.23431
12,049,FL,HARDEE, -81.810,  27.492,0.72241
12,051,FL,HENDRY, -81.167,  26.553,0.501542
12,053,FL,HERNANDO, -82.468,  28.556,1.23873
12,055,FL,HIGHLANDS, -81.341,  27.343,0.416227
12,057,FL,HILLSBOROUGH, -82.348,  27.905,1.42517
12,059,FL,HOLMES, -85.814,  30.868,1.31284
12,061,FL,INDIANRIVER, -80.574,  27.696,0.374109
12,063,FL,JACKSON, -85.216,  30.795,1.27947
12,065,FL,JEFFERSON, -83.901,  30.422,1.264
12,067,FL,LAFAYETTE, -83.181,  29.985,0.992988
12,069,FL,LAKE, -81.711,  28.761,0.976231
12,071,FL,LEE, -81.916,  26.576,0.895817
12,073,FL,LEON, -84.278,  30.458,1.06142
12,075,FL,LEVY, -82.787,  29.284,1.44199
12,077,FL,LIBERTY, -84.881,  30.241,0.981992
12,079,FL,MADISON, -83.470,  30.444,1.26816
12,081,FL,MANATEE, -82.357,  27.477,0.723374
12,083,FL,MARION, -82.057,  29.210,1.57682
12,085,FL,MARTIN, -80.399,  27.081,0.440387
12,087,FL,MONROE, -82.897,  24.634,1.45793
12,087,FL,MONROE, -81.122,  25.074,1.45793
12,089,FL,NASSAU, -81.772,  30.611,1.40369
12,091,FL,OKALOOSA, -86.593,  30.662,1.15698
12,093,FL,OKEECHOBEE, -80.889,  27.386,0.402213
12,095,FL,ORANGE, -81.324,  28.514,0.785401
12,097,FL,OSCEOLA, -81.150,  28.062,0.497291
12,099,FL,PALMBEACH, -80.437,  26.647,0.354723
12,101,FL,PASCO, -82.439,  28.307,1.02069
12,103,FL,PINELLAS, -82.741,  27.904,0.810168
12,105,FL,POLK, -81.698,  27.949,1.39947
12,107,FL,PUTNAM, -81.744,  29.608,1.07664
12,109,FL,STJOHNS, -81.410,  29.912,1.00482
12,111,FL,STLUCIE, -80.446,  27.380,0.381751
12,113,FL,SANTAROSA, -87.020,  30.698,1.2819
12,113,FL,SANTAROSA, -86.857,  30.385,1.2819
12,115,FL,SARASOTA, -82.365,  27.182,0.974772
12,117,FL,SEMINOLE, -81.239,  28.716,0.883506
12,119,FL,SUMTER, -82.081,  28.705,1.23718
12,121,FL,SUWANNEE, -82.992,  30.196,1.53064
12,123,FL,TAYLOR, -83.619,  30.019,1.08979
12,125,FL,UNION, -82.371,  30.044,1.82107
12,127,FL,VOLUSIA, -81.148,  29.062,0.854218
12,129,FL,WAKULLA, -84.376,  30.148,0.498565
12,131,FL,WALTON, -86.172,  30.619,1.14118
12,133,FL,WASHINGTON, -85.666,  30.610,0.936545
13,001,GA,APPLING, -82.289,  31.750,1.31179
13,003,GA,ATKINSON, -82.880,  31.297,1.02875
13,005,GA,BACON, -82.453,  31.554,1.21736
13,007,GA,BAKER, -84.444,  31.326,1.78958
13,009,GA,BALDWIN, -83.250,  33.069,2.04695
13,011,GA,BANKS, -83.498,  34.354,1.93294
13,013,GA,BARROW, -83.713,  33.993,2.82558
13,015,GA,BARTOW, -84.841,  34.238,1.98795
13,017,GA,BENHILL, -83.220,  31.760,1.89584
13,019,GA,BERRIEN, -83.230,  31.276,1.48966
13,021,GA,BIBB, -83.698,  32.807,2.39692
13,023,GA,BLECKLEY, -83.328,  32.434,2.43673
13,025,GA,BRANTLEY, -81.982,  31.197,0.950566
13,027,GA,BROOKS, -83.581,  30.842,1.73042
13,027,GA,BROOKS, -83.321,  30.635,1.73042
13,029,GA,BRYAN, -81.442,  32.013,1.00006
13,031,GA,BULLOCH, -81.743,  32.397,1.19457
13,033,GA,BURKE, -82.000,  33.061,1.57103
13,035,GA,BUTTS, -83.958,  33.289,2.95401
13,037,GA,CALHOUN, -84.625,  31.529,1.82827
13,039,GA,CAMDEN, -81.635,  30.923,1.5332
13,043,GA,CANDLER, -82.074,  32.403,1.40872
13,045,GA,CARROLL, -85.080,  33.582,2.35035
13,047,GA,CATOOSA, -85.138,  34.903,1.85905
13,049,GA,CHARLTON, -82.138,  30.782,0.779868
13,051,GA,CHATHAM, -81.087,  31.975,0.820551
13,053,GA,CHATTAHOOCHEE, -84.787,  32.347,1.74094
13,055,GA,CHATTOOGA, -85.345,  34.475,1.78143
13,057,GA,CHEROKEE, -84.476,  34.244,1.88673
13,059,GA,CLARKE, -83.367,  33.951,3.07229
13,061,GA,CLAY, -84.981,  31.626,1.6061
13,063,GA,CLAYTON, -84.358,  33.542,2.14702
13,065,GA,CLINCH, -82.707,  30.915,0.778364
13,067,GA,COBB, -84.577,  33.941,1.49491
13,069,GA,COFFEE, -82.849,  31.549,1.52899
13,071,GA,COLQUITT, -83.769,  31.188,1.65121
13,073,GA,COLUMBIA, -82.263,  33.544,1.95762
13,075,GA,COOK, -83.431,  31.154,1.64253
13,077,GA,COWETA, -84.763,  33.353,2.24497
13,079,GA,CRAWFORD, -83.985,  32.714,2.03583
13,081,GA,CRISP, -83.768,  31.923,1.68077
13,083,GA,DADE, -85.505,  34.854,1.58374
13,085,GA,DAWSON, -84.171,  34.444,2.31765
13,087,GA,DECATUR, -84.579,  30.878,1.47547
13,089,GA,DEKALB, -84.226,  33.771,3.15171
13,091,GA,DODGE, -83.169,  32.172,2.29326
13,093,GA,DOOLY, -83.798,  32.157,1.94056
13,095,GA,DOUGHERTY, -84.217,  31.533,1.74749
13,097,GA,DOUGLAS, -84.768,  33.701,2.27563
13,099,GA,EARLY, -84.904,  31.323,1.82518
13,101,GA,ECHOLS, -82.894,  30.710,0.850395
13,103,GA,EFFINGHAM, -81.341,  32.367,0.967238
13,105,GA,ELBERT, -82.840,  34.117,2.6105
13,107,GA,EMANUEL, -82.302,  32.590,1.76006
13,109,GA,EVANS, -81.887,  32.157,1.26577
13,111,GA,FANNIN, -84.320,  34.864,2.08487
13,113,GA,FAYETTE, -84.494,  33.414,2.54909
13,115,GA,FLOYD, -85.214,  34.263,1.96544
13,117,GA,FORSYTH, -84.125,  34.225,2.13501
13,119,GA,FRANKLIN, -83.229,  34.375,2.52519
13,121,GA,FULTON, -84.466,  33.790,2.33187
13,123,GA,GILMER, -84.456,  34.691,2.29916
13,125,GA,GLASCOCK, -82.611,  33.229,1.44717
13,127,GA,GLYNN, -81.493,  31.213,1.53857
13,129,GA,GORDON, -84.875,  34.503,1.94469
13,131,GA,GRADY, -84.235,  30.875,1.45389
13,133,GA,GREENE, -83.167,  33.578,2.0609
13,135,GA,GWINNETT, -84.023,  33.961,2.41724
13,137,GA,HABERSHAM, -83.530,  34.629,2.48031
13,139,GA,HALL, -83.820,  34.317,2.03971
13,141,GA,HANCOCK, -83.001,  33.270,1.87869
13,143,GA,HARALSON, -85.211,  33.794,2.05056
13,145,GA,HARRIS, -84.909,  32.736,1.96237
13,147,GA,HART, -82.965,  34.350,3.00739
13,149,GA,HEARD, -85.128,  33.297,2.07627
13,151,GA,HENRY, -84.155,  33.453,3.0663
13,153,GA,HOUSTON, -83.667,  32.458,2.36982
13,155,GA,IRWIN, -83.277,  31.602,1.62315
13,157,GA,JACKSON, -83.566,  34.134,2.54977
13,159,GA,JASPER, -83.688,  33.316,1.82109
13,161,GA,JEFFDAVIS, -82.638,  31.805,1.52042
13,163,GA,JEFFERSON, -82.418,  33.055,1.68052
13,165,GA,JENKINS, -81.964,  32.792,1.54073
13,167,GA,JOHNSON, -82.660,  32.701,2.14215
13,169,GA,JONES, -83.561,  33.025,1.80599
13,171,GA,LAMAR, -84.140,  33.076,2.98891
13,173,GA,LANIER, -83.063,  31.038,1.0622
13,175,GA,LAURENS, -82.922,  32.463,2.31519
13,177,GA,LEE, -84.140,  31.780,1.81974
13,177,GA,LEE, -84.309,  31.688,1.81974
13,179,GA,LIBERTY, -81.456,  31.807,1.20278
13,181,GA,LINCOLN, -82.451,  33.793,1.39134
13,183,GA,LONG, -81.746,  31.752,1.56993
13,185,GA,LOWNDES, -83.269,  30.833,1.3116
13,187,GA,LUMPKIN, -84.003,  34.572,2.1652
