Date,GFI,GLD
2010-08-20,14.13,119.97
2010-08-23,14.12,119.91
2010-08-24,13.81,118.77
2010-08-25,13.72,121.12
2010-08-26,13.98,121.09
2010-08-27,14.18,121.2
2010-08-30,14.32,120.85
2010-08-31,14.27,121.77
2010-09-01,14.32,122.15
2010-09-02,14.45,122.38
2010-09-03,14.47,
2010-09-07,14.74,122.91
2010-09-08,14.84,122.82
2010-09-09,14.95,122.44
2010-09-10,14.68,121.4
2010-09-13,14.95,121.63
2010-09-14,15.23,122.92
2010-09-15,15.35,123.97
2010-09-16,15.37,124.5
2010-09-17,15.14,125.03
2010-09-20,14.95,125.09
2010-09-21,15.05,124.77
2010-09-22,15.29,126.58
2010-09-23,15.14,126.2
2010-09-24,15.14,126.91
2010-09-27,15.04,126.9
2010-09-28,14.81,126.42
2010-09-29,15.02,127.93
2010-09-30,15.19,128.15
2010-10-01,15.31,128.72
2010-10-04,15.25,128.52
2010-10-05,15.58,130.11
2010-10-06,15.79,131.45
2010-10-07,15.78,132.6
2010-10-08,15.5,130.78
2010-10-11,15.59,131.28
2010-10-12,15.74,132.06
2010-10-13,15.8,132.73
2010-10-14,15.89,134.06
2010-10-15,15.79,134.24
2010-10-18,15.65,133.46
2010-10-19,15.24,130.46
2010-10-20,15.31,130.36
2010-10-21,15.35,131.08
2010-10-22,15.08,129.47
2010-10-25,15.41,131.16
2010-10-26,15.24,129.99
2010-10-27,15.28,129.93
2010-10-28,15.16,130.36
2010-10-29,15.69,131.48
2010-11-01,15.65,132.85
2010-11-02,15.7,132.44
2010-11-03,15.75,132.28
2010-11-04,16.25,134.64
2010-11-05,16.82,135.14
2010-11-08,16.99,135.92
2010-11-09,17.72,138.7
2010-11-10,17.4,137.03
2010-11-11,17.92,137.62
2010-11-12,17.77,135.89
2010-11-15,17.46,133.86
2010-11-16,16.93,132.24
2010-11-17,16.57,130.77
2010-11-18,16.86,131.82
2010-11-19,16.68,131.48
2010-11-22,16.67,132.13
2010-11-23,16.78,133.6
2010-11-24,16.84,
2010-11-26,16.38,132.38
2010-11-29,16.4,133.19
2010-11-30,16.36,135.21
2010-12-01,16.67,135.71
2010-12-02,17.11,135.62
2010-12-03,17.55,136.62
2010-12-06,18.03,138.14
2010-12-07,18.3,139.46
2010-12-08,17.73,135.91
2010-12-09,17.79,135.69
2010-12-10,17.72,134.94
2010-12-13,18.12,136.26
2010-12-14,18.21,136.27
2010-12-15,18.18,135.34
2010-12-16,17.85,134.21
2010-12-17,17.84,133.97
2010-12-20,17.87,135.13
2010-12-21,17.64,135.17
2010-12-22,17.47,135.6
2010-12-23,17.47,
2010-12-27,17.87,134.96
2010-12-28,17.77,136.85
2010-12-29,17.92,137.38
2010-12-30,18.04,137.58
2010-12-31,17.97,137.78
2011-01-03,18.27,138.67
2011-01-04,17.87,136.24
2011-01-05,17.25,133.5
2011-01-06,17.2,134.05
2011-01-07,16.67,133.38
2011-01-10,16.97,133.85
2011-01-11,17.26,134.79
2011-01-12,17.3,134.79
2011-01-13,17.24,135.66
2011-01-14,16.65,
2011-01-18,16.74,133.62
2011-01-19,16.74,134.34
2011-01-20,16.2,131.76
2011-01-21,16.41,130.76
2011-01-24,16.25,131.01
2011-01-25,15.82,129.65
2011-01-26,15.84,129.83
2011-01-27,16.16,130.29
2011-01-28,15.61,127.97
2011-01-31,15.73,129.27
2011-02-01,15.93,130.52
2011-02-02,16.22,130.41
2011-02-03,16.05,130.03
2011-02-04,16.29,131.89
2011-02-07,16.16,131.7
2011-02-08,16.35,133.0
2011-02-09,16.41,133.18
2011-02-10,16.01,132.1
2011-02-11,15.97,133.04
2011-02-14,15.88,132.95
2011-02-15,16.06,133.87
2011-02-16,16.44,134.27
2011-02-17,16.8,134.79
2011-02-18,17.3,
2011-02-22,17.76,136.91
2011-02-23,17.55,136.97
2011-02-24,17.65,138.06
2011-02-25,17.43,137.19
2011-02-28,17.8,137.58
2011-03-01,17.94,138.56
2011-03-02,18.1,140.16
2011-03-03,17.95,138.81
2011-03-04,17.7,138.61
2011-03-07,17.89,140.33
2011-03-08,17.66,139.62
2011-03-09,17.74,139.92
2011-03-10,17.11,138.46
2011-03-11,16.98,137.3
2011-03-14,17.43,139.33
2011-03-15,16.48,135.33
2011-03-16,16.93,136.54
2011-03-17,16.35,136.53
2011-03-18,16.52,138.1
2011-03-21,16.68,139.5
2011-03-22,16.31,138.9
2011-03-23,16.51,139.63
2011-03-24,17.24,140.34
2011-03-25,16.9,139.98
2011-03-28,16.6,137.84
2011-03-29,16.85,138.2
2011-03-30,17.21,139.12
2011-03-31,17.45,140.06
2011-04-01,17.52,138.63
2011-04-04,17.76,140.04
2011-04-05,17.64,139.64
2011-04-06,18.37,142.42
2011-04-07,18.24,142.25
2011-04-08,18.28,143.44
2011-04-11,18.37,143.29
2011-04-12,18.19,142.72
2011-04-13,18.09,142.36
2011-04-14,17.68,142.35
2011-04-15,17.79,143.88
2011-04-18,17.65,145.22
2011-04-19,17.55,145.7
2011-04-20,17.86,146.35
2011-04-21,17.93,
2011-04-25,18.09,147.58
2011-04-26,17.74,146.46
2011-04-27,17.74,147.43
2011-04-28,17.56,149.32
2011-04-29,17.68,149.91
2011-05-02,17.72,151.48
2011-05-03,17.45,150.42
2011-05-04,16.82,149.83
2011-05-05,16.26,146.77
2011-05-06,16.15,145.2
2011-05-09,15.98,146.69
2011-05-10,16.01,147.21
2011-05-11,15.91,147.24
2011-05-12,15.35,145.84
2011-05-13,15.52,146.77
2011-05-16,15.32,145.84
2011-05-17,15.25,144.21
2011-05-18,15.51,145.53
2011-05-19,15.48,145.14
2011-05-20,15.72,145.77
2011-05-23,15.48,147.04
2011-05-24,15.64,148.49
2011-05-25,15.73,148.75
2011-05-26,16.05,148.4
2011-05-27,16.05,
2011-05-31,16.41,149.88
2011-06-01,16.4,149.66
2011-06-02,16.2,150.16
2011-06-03,15.83,150.25
2011-06-06,15.55,150.82
2011-06-07,15.1,150.69
2011-06-08,14.76,150.0
2011-06-09,14.81,150.03
2011-06-10,14.65,149.02
2011-06-13,14.55,148.63
2011-06-14,14.31,147.67
2011-06-15,14.42,148.18
2011-06-16,14.51,148.84
2011-06-17,14.12,148.91
2011-06-20,14.33,150.08
2011-06-21,14.37,150.26
2011-06-22,14.41,151.0
2011-06-23,14.06,148.7
2011-06-24,14.06,147.87
2011-06-27,13.91,145.98
2011-06-28,14.17,146.16
2011-06-29,14.36,146.77
2011-06-30,14.55,147.18
2011-07-01,14.42,
2011-07-05,14.5,146.96
2011-07-06,14.63,148.71
2011-07-07,14.98,148.95
2011-07-08,14.78,150.34
2011-07-11,14.6,151.36
2011-07-12,14.49,151.25
2011-07-13,15.27,153.78
2011-07-14,15.62,154.83
2011-07-15,15.34,154.3
2011-07-18,15.57,155.75
2011-07-19,15.75,156.31
2011-07-20,15.26,154.21
2011-07-21,15.6,155.93
2011-07-22,15.52,155.98
2011-07-25,15.74,157.64
2011-07-26,15.62,156.98
2011-07-27,15.68,158.53
2011-07-28,15.3,157.54
2011-07-29,15.41,158.43
2011-08-01,15.52,157.42
2011-08-02,15.95,159.36
2011-08-03,16.04,162.33
2011-08-04,15.95,163.64
2011-08-05,15.42,161.62
2011-08-08,15.2,165.71
2011-08-09,15.13,169.98
2011-08-10,15.39,172.42
2011-08-11,15.98,172.27
2011-08-12,16.25,169.48
2011-08-15,16.3,169.32
2011-08-16,16.87,172.66
2011-08-17,16.84,173.89
2011-08-18,16.73,177.18
2011-08-19,16.55,181.67
2011-08-22,16.92,181.93
2011-08-23,16.58,182.29
2011-08-24,16.23,177.97
2011-08-25,15.65,167.28
2011-08-26,15.96,173.58
2011-08-29,16.56,176.01
2011-08-30,16.56,177.65
2011-08-31,16.55,177.75
2011-09-01,16.63,177.46
2011-09-02,16.71,182.79
2011-09-06,16.39,184.68
2011-09-07,16.29,176.12
2011-09-08,16.85,181.37
2011-09-09,16.55,179.75
2011-09-12,16.66,178.73
2011-09-13,16.7,177.55
2011-09-14,16.99,177.56
2011-09-15,16.86,174.61
2011-09-16,16.9,173.8
2011-09-19,17.25,176.83
2011-09-20,17.2,173.24
2011-09-21,17.63,174.79
2011-09-22,16.95,169.27
2011-09-23,16.27,164.65
2011-09-26,15.85,157.04
2011-09-27,16.72,161.52
2011-09-28,15.91,160.79
2011-09-29,15.59,158.08
2011-09-30,15.15,157.34
2011-10-03,15.55,161.0
2011-10-04,15.05,160.9
2011-10-05,14.73,157.94
2011-10-06,14.87,160.03
2011-10-07,15.1,161.07
2011-10-10,15.19,162.05
2011-10-11,15.22,162.23
2011-10-12,15.51,163.78
2011-10-13,15.5,162.3
2011-10-14,15.37,163.36
2011-10-17,15.65,164.0
2011-10-18,15.54,160.0
2011-10-19,15.71,161.03
2011-10-20,15.22,157.51
2011-10-21,15.33,160.04
2011-10-24,15.74,160.55
2011-10-25,16.29,161.27
2011-10-26,16.96,167.1
2011-10-27,17.33,167.55
2011-10-28,17.47,169.64
2011-10-31,17.6,167.71
2011-11-01,16.91,164.13
2011-11-02,17.32,168.65
2011-11-03,17.54,171.24
2011-11-04,17.44,171.01
2011-11-07,17.78,172.85
2011-11-08,18.19,174.29
2011-11-09,17.71,174.27
2011-11-10,17.48,172.46
2011-11-11,17.28,172.16
2011-11-14,17.5,173.76
2011-11-15,17.22,173.35
2011-11-16,17.25,171.63
2011-11-17,17.11,170.08
2011-11-18,16.41,167.23
2011-11-21,15.83,166.58
2011-11-22,15.76,164.76
2011-11-23,15.59,
2011-11-25,15.28,163.29
2011-11-28,15.65,166.91
2011-11-29,15.48,166.4
2011-11-30,16.47,169.7
2011-12-01,16.93,169.86
2011-12-02,17.3,170.6
2011-12-05,16.85,169.04
2011-12-06,16.35,166.32
2011-12-07,16.89,168.85
2011-12-08,16.72,166.96
2011-12-09,16.4,166.42
2011-12-12,15.92,162.41
2011-12-13,15.84,161.87
2011-12-14,14.99,156.83
2011-12-15,15.42,154.75
2011-12-16,15.28,154.32
2011-12-19,15.34,155.5
2011-12-20,15.35,156.8
2011-12-21,15.37,157.0
2011-12-22,15.52,156.33
2011-12-23,15.78,
2011-12-27,15.63,155.06
2011-12-28,15.54,154.02
2011-12-29,14.96,149.1
2011-12-30,15.31,
2012-01-03,15.6,154.77
2012-01-04,15.6,155.46
2012-01-05,15.39,155.38
2012-01-06,15.75,158.54
2012-01-09,15.72,157.42
2012-01-10,15.76,158.93
2012-01-11,15.56,159.3
2012-01-12,15.61,161.0
2012-01-13,15.44,
2012-01-17,15.93,161.2
2012-01-18,15.82,160.0
2012-01-19,15.82,160.96
2012-01-20,15.54,160.5
2012-01-23,15.64,162.37
2012-01-24,15.66,161.81
2012-01-25,15.46,161.07
2012-01-26,16.62,168.04
2012-01-27,16.69,167.46
2012-01-30,16.65,168.19
2012-01-31,16.69,169.77
2012-02-01,16.5,169.72
2012-02-02,16.55,169.95
2012-02-03,16.67,169.92
2012-02-06,16.75,167.0
2012-02-07,16.68,167.43
2012-02-08,16.69,169.35
2012-02-09,16.78,170.0
2012-02-10,16.41,166.47
2012-02-13,16.53,167.31
2012-02-14,16.47,167.63
2012-02-15,16.53,168.65
2012-02-16,16.05,166.32
2012-02-17,16.25,168.32
2012-02-21,15.89,169.7
2012-02-22,15.76,170.43
2012-02-23,15.98,172.67
2012-02-24,15.93,172.63
2012-02-27,15.78,172.14
2012-02-28,15.88,172.85
2012-02-29,15.96,173.16
2012-03-01,15.49,166.14
2012-03-02,15.42,166.27
2012-03-05,15.13,165.71
2012-03-06,14.84,162.15
2012-03-07,14.63,162.79
2012-03-08,14.79,164.72
2012-03-09,14.5,163.64
2012-03-12,14.55,165.33
2012-03-13,14.42,163.98
2012-03-14,14.22,159.68
2012-03-15,14.22,159.71
2012-03-16,14.17,160.07
2012-03-19,14.09,160.86
2012-03-20,13.79,160.2
2012-03-21,14.11,160.61
2012-03-22,13.67,158.35
2012-03-23,13.77,160.87
2012-03-26,14.02,163.17
2012-03-27,14.1,164.52
2012-03-28,13.75,162.77
2012-03-29,13.53,161.16
2012-03-30,13.73,161.7
2012-04-02,13.83,161.99
2012-04-03,13.93,163.18
2012-04-04,12.95,157.73
2012-04-05,12.99,157.87
2012-04-09,12.86,159.73
2012-04-10,12.77,159.67
2012-04-11,12.86,161.17
2012-04-12,12.78,160.72
2012-04-13,12.89,162.46
2012-04-16,12.7,160.49
2012-04-17,12.75,160.53
2012-04-18,12.61,159.49
2012-04-19,12.72,160.0
2012-04-20,12.78,159.29
2012-04-23,12.38,158.2
2012-04-24,12.3,159.61
2012-04-25,12.6,159.5
2012-04-26,12.9,160.47
2012-04-27,13.03,161.78
2012-04-30,12.88,160.47
2012-05-01,12.93,162.11
2012-05-02,12.88,160.71
2012-05-03,12.68,159.15
2012-05-04,12.47,158.81
2012-05-07,12.76,159.32
2012-05-08,12.57,156.55
2012-05-09,12.29,154.15
2012-05-10,12.93,155.15
2012-05-11,13.06,153.45
2012-05-14,12.5,151.61
2012-05-15,12.21,151.15
2012-05-16,11.74,149.45
2012-05-17,11.91,150.83
2012-05-18,12.41,154.45
2012-05-21,12.3,154.13
2012-05-22,12.69,153.62
2012-05-23,12.55,151.48
2012-05-24,13.24,152.72
2012-05-25,13.05,151.88
2012-05-29,13.39,153.5
2012-05-30,12.9,149.76
2012-05-31,13.43,152.01
2012-06-01,13.45,155.38
2012-06-04,13.91,157.26
2012-06-05,13.95,156.94
2012-06-06,13.89,158.94
2012-06-07,13.91,157.78
2012-06-08,13.2,153.05
2012-06-11,13.66,154.83
2012-06-12,13.53,155.49
2012-06-13,13.76,157.61
2012-06-14,13.54,157.71
2012-06-15,13.59,157.75
2012-06-18,13.44,157.49
2012-06-19,13.8,158.0
2012-06-20,13.66,156.0
2012-06-21,13.47,153.71
2012-06-22,12.9,152.0
2012-06-25,12.54,152.61
2012-06-26,12.78,153.02
2012-06-27,12.71,153.3
2012-06-28,12.47,151.9
2012-06-29,12.75,155.08
2012-07-02,12.64,154.65
2012-07-03,12.62,156.96
2012-07-05,12.61,155.42
2012-07-06,12.39,154.24
2012-07-09,12.27,153.65
2012-07-10,12.49,155.1
2012-07-11,12.2,152.58
2012-07-12,12.03,151.24
2012-07-13,12.22,153.44
2012-07-16,12.16,154.43
2012-07-17,12.26,154.03
2012-07-18,11.96,152.67
2012-07-19,11.92,153.74
2012-07-20,11.97,152.96
2012-07-23,11.97,152.5
2012-07-24,12.13,153.63
2012-07-25,12.37,155.3
2012-07-26,12.57,156.73
2012-07-27,13.18,157.65
2012-07-30,13.1,156.86
2012-07-31,13.12,157.59
2012-08-01,12.96,155.18
2012-08-02,12.81,154.68
2012-08-03,13.19,154.65
2012-08-06,13.28,155.94
2012-08-07,13.41,156.37
2012-08-08,13.39,156.49
2012-08-09,13.45,156.35
2012-08-10,13.68,156.88
2012-08-13,13.91,157.05
2012-08-14,13.65,155.06
2012-08-15,13.48,155.32
2012-08-16,13.63,155.85
2012-08-17,13.89,157.02
2012-08-20,13.57,156.53
2012-08-21,13.65,158.79
2012-08-22,13.38,159.2
2012-08-23,13.62,161.44
2012-08-24,13.31,161.9
2012-08-27,13.12,161.77
2012-08-28,12.76,161.61
2012-08-29,12.58,161.59
2012-08-30,12.41,161.26
2012-08-31,11.75,161.14
2012-09-04,12.16,164.08
2012-09-05,12.28,164.14
2012-09-06,12.71,165.19
2012-09-07,13.31,167.76
2012-09-10,13.22,167.84
2012-09-11,12.86,168.19
2012-09-12,12.77,168.87
2012-09-13,12.14,167.87
2012-09-14,12.9,171.89
2012-09-17,12.88,171.79
2012-09-18,12.88,170.8
2012-09-19,13.38,171.86
2012-09-20,13.3,171.06
2012-09-21,13.2,172.9
2012-09-24,13.19,170.67
2012-09-25,13.08,171.78
2012-09-26,12.6,169.45
2012-09-27,12.82,171.06
2012-09-28,12.78,172.04
2012-10-01,13.04,172.74
2012-10-02,12.92,172.5
2012-10-03,12.77,172.51
2012-10-04,12.34,173.24
2012-10-05,12.41,172.87
2012-10-08,12.14,171.75
2012-10-09,12.44,171.86
2012-10-10,12.18,170.54
2012-10-11,12.35,171.26
2012-10-12,12.51,171.17
2012-10-15,12.1,168.99
2012-10-16,12.29,168.84
2012-10-17,12.43,169.23
2012-10-18,12.21,168.81
2012-10-19,11.92,168.43
2012-10-22,11.96,167.09
2012-10-23,12.01,166.06
2012-10-24,12.11,165.79
2012-10-25,12.05,166.32
2012-10-26,12.03,166.25
2012-10-31,12.1,166.49
2012-11-01,12.62,167.0
2012-11-02,12.6,164.46
2012-11-05,12.34,163.09
2012-11-06,12.36,163.9
2012-11-07,12.88,166.92
2012-11-08,12.75,166.15
2012-11-09,12.64,168.26
2012-11-12,12.7,168.12
2012-11-13,12.38,166.67
2012-11-14,12.1,167.48
2012-11-15,11.75,167.0
2012-11-16,11.63,165.76
2012-11-19,11.96,167.74
2012-11-20,11.84,167.78
2012-11-21,11.65,167.19
2012-11-23,11.85,167.97
2012-11-26,12.18,169.56
2012-11-27,11.98,169.14
2012-11-28,11.51,165.43
2012-11-29,12.36,167.14
2012-11-30,12.29,166.94
2012-12-03,12.04,166.11
2012-12-04,11.7,164.06
2012-12-05,11.74,164.22
2012-12-06,11.43,163.72
2012-12-07,11.34,164.88
2012-12-10,11.6,166.11
2012-12-11,11.47,165.45
2012-12-12,11.54,166.2
2012-12-13,11.6,163.86
2012-12-14,11.56,164.17
2012-12-17,11.7,164.16
2012-12-18,11.76,164.35
2012-12-19,11.86,161.31
2012-12-20,11.6,159.87
2012-12-21,11.57,159.82
2012-12-24,11.9,160.88
2012-12-26,11.97,161.36
2012-12-27,12.04,160.23
2012-12-28,12.2,160.94
2012-12-31,12.13,160.9
2013-01-02,12.56,163.49
2013-01-03,12.39,162.48
2013-01-04,12.01,159.52
2013-01-07,12.08,159.36
2013-01-08,12.0,160.46
2013-01-09,11.91,160.77
2013-01-10,12.04,161.61
2013-01-11,12.03,161.86
2013-01-14,12.21,161.88
2013-01-15,12.19,162.8
2013-01-16,12.21,162.42
2013-01-17,12.13,161.94
2013-01-18,12.22,163.95
2013-01-22,12.28,163.48
2013-01-23,12.23,163.92
2013-01-24,12.15,161.98
2013-01-25,11.97,160.56
2013-01-28,11.83,160.24
2013-01-29,11.59,161.01
2013-01-30,11.73,162.68
2013-01-31,11.64,161.62
2013-02-01,11.93,162.66
2013-02-04,11.96,161.19
2013-02-05,12.09,162.75
2013-02-06,11.87,162.13
2013-02-07,11.78,161.24
2013-02-08,11.96,161.46
2013-02-11,11.8,159.78
2013-02-12,11.87,159.35
2013-02-13,12.06,159.6
2013-02-14,11.95,159.31
2013-02-15,11.56,156.42
2013-02-19,10.87,155.8
2013-02-20,10.64,153.9
2013-02-21,8.63,152.0
2013-02-22,8.78,152.26
2013-02-25,8.87,153.52
2013-02-26,8.86,154.39
2013-02-27,8.67,155.46
2013-02-28,8.59,154.09
2013-03-01,8.21,153.16
2013-03-04,8.2,152.45
2013-03-05,8.16,153.1
2013-03-06,7.89,152.17
2013-03-07,8.17,153.02
2013-03-08,7.96,151.61
2013-03-11,7.97,152.82
2013-03-12,7.97,154.07
2013-03-13,8.03,154.26
2013-03-14,7.86,153.02
2013-03-15,7.91,154.12
2013-03-18,8.22,155.7
2013-03-19,7.95,155.22
2013-03-20,8.07,155.53
2013-03-21,8.06,156.17
2013-03-22,8.02,155.45
2013-03-25,7.78,154.71
2013-03-26,7.76,154.47
2013-03-27,7.65,154.67
2013-03-28,7.72,154.5
2013-04-01,7.74,154.57
2013-04-02,7.59,153.09
2013-04-03,7.13,152.02
2013-04-04,6.84,149.65
2013-04-05,7.17,151.54
2013-04-08,7.14,151.64
2013-04-09,7.34,152.32
2013-04-10,7.51,152.67
2013-04-11,7.44,150.76
2013-04-12,7.14,148.65
2013-04-15,6.53,136.0
2013-04-16,6.68,134.9
2013-04-17,6.49,133.81
2013-04-18,6.35,134.12
2013-04-19,6.53,136.0
2013-04-22,6.74,138.15
2013-04-23,6.72,137.22
2013-04-24,6.81,138.09
2013-04-25,7.52,140.0
2013-04-26,7.52,142.3
2013-04-29,7.26,142.14
2013-04-30,7.26,142.27
2013-05-01,7.27,140.59
2013-05-02,7.23,142.0
2013-05-03,7.04,141.7
2013-05-06,7.08,142.33
2013-05-07,6.92,140.38
2013-05-08,6.69,141.78
2013-05-09,6.85,141.33
2013-05-10,6.62,138.22
2013-05-13,6.66,138.46
2013-05-14,6.42,137.95
2013-05-15,6.23,136.59
2013-05-16,6.08,133.18
2013-05-17,5.95,133.17
2013-05-20,5.67,130.88
2013-05-21,5.73,132.17
2013-05-22,5.88,134.18
2013-05-23,5.93,134.51
2013-05-24,5.81,134.11
2013-05-28,5.75,133.68
2013-05-29,5.78,134.09
2013-05-30,6.13,136.67
2013-05-31,6.07,135.71
2013-06-03,6.14,134.77
2013-06-04,6.21,135.21
2013-06-05,6.17,135.47
2013-06-06,6.14,135.39
2013-06-07,6.19,134.11
2013-06-10,6.14,133.3
2013-06-11,5.96,132.31
2013-06-12,5.92,132.95
2013-06-13,5.86,133.31
2013-06-14,6.04,134.0
2013-06-17,5.99,133.89
2013-06-18,5.98,132.72
2013-06-19,5.87,132.58
2013-06-20,5.31,125.22
2013-06-21,5.28,125.16
2013-06-24,5.17,124.31
2013-06-25,5.07,123.65
2013-06-26,4.84,119.88
2013-06-27,4.75,119.1
2013-06-28,4.87,115.22
2013-07-01,5.26,119.94
2013-07-02,5.35,121.34
2013-07-03,4.98,120.7
2013-07-05,4.77,118.08
2013-07-08,4.92,119.09
2013-07-09,4.92,120.84
2013-07-10,4.96,121.15
2013-07-11,5.29,124.26
2013-07-12,5.35,123.52
2013-07-15,5.19,124.08
2013-07-16,5.23,124.76
2013-07-17,5.38,125.04
2013-07-18,5.24,124.11
2013-07-19,5.3,124.89
2013-07-22,5.77,127.65
2013-07-23,5.78,128.7
2013-07-24,6.07,129.17
2013-07-25,5.76,127.7
2013-07-26,5.81,128.11
2013-07-29,6.0,128.45
2013-07-30,5.9,127.95
2013-07-31,5.91,127.76
2013-08-01,6.08,127.84
2013-08-02,5.73,126.74
2013-08-05,5.53,126.51
2013-08-06,5.36,124.33
2013-08-07,5.2,124.0
2013-08-08,5.22,124.78
2013-08-09,5.61,126.51
2013-08-12,6.03,129.57
2013-08-13,5.84,128.49
2013-08-14,5.95,127.66
2013-08-15,6.16,128.06
2013-08-16,6.5,132.56
2013-08-19,6.29,132.33
2013-08-20,6.26,132.03
2013-08-21,6.43,131.74
2013-08-22,5.76,132.56
2013-08-23,5.46,132.58
2013-08-26,5.61,134.88
2013-08-27,5.74,136.94
2013-08-28,5.53,137.21
2013-08-29,5.22,136.12
2013-08-30,5.26,134.65
2013-09-03,5.28,135.46
2013-09-04,5.18,134.61
2013-09-05,5.19,134.13
2013-09-06,5.26,133.42
2013-09-09,5.24,134.13
2013-09-10,5.11,131.82
2013-09-11,5.04,131.58
2013-09-12,4.78,128.62
2013-09-13,4.7,127.16
2013-09-16,4.75,127.48
2013-09-17,4.74,126.81
2013-09-18,4.73,125.32
2013-09-19,5.19,132.0
